Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,20-2,+34.66,123.4,2,88.8,7,73.9,2,-.053,279,-0.23,163
2,Arizona,P12,21-2,+29.23,116.7,14,87.5,5,73.2,4,+.027,129,+5.07,58
3,Kentucky,SEC,20-4,+28.62,118.6,5,89.9,12,69.1,94,-.037,260,+5.90,43
4,Houston,Amer,20-3,+27.47,118.2,7,90.7,14,65.3,297,-.016,218,+2.35,100
5,Baylor,B12,20-4,+27.16,117.6,9,90.4,13,67.8,154,+.011,166,+7.98,25
6,Kansas,B12,19-4,+26.08,120.4,3,94.3,36,69.7,70,+.025,132,+11.10,2
7,Auburn,SEC,22-2,+25.98,115.8,16,89.8,11,69.6,71,+.002,181,+8.00,24
8,Villanova,BE,18-6,+25.65,118.0,8,92.3,21,62.1,352,+.006,174,+10.13,7
9,Duke,ACC,20-4,+25.65,116.8,13,91.2,16,68.0,140,-.057,286,+4.37,75
10,Purdue,B10,21-4,+25.01,125.3,1,100.3,128,66.5,228,+.040,100,+7.29,31
11,Tennessee,SEC,17-6,+24.36,112.4,29,88.1,6,68.1,138,+.007,173,+10.11,8
12,UCLA,P12,17-4,+24.35,115.6,17,91.3,17,66.4,236,-.008,200,+7.24,32
13,Texas Tech,B12,18-6,+23.79,109.9,57,86.1,3,66.2,241,-.020,227,+6.97,34
14,Texas,B12,18-6,+22.96,111.9,39,88.9,9,62.6,347,-.026,235,+5.07,59
15,Illinois,B10,17-6,+21.72,114.6,21,92.8,23,66.9,205,+.027,126,+9.35,13
16,LSU,SEC,17-7,+20.45,106.0,112,85.5,2,69.3,87,-.021,230,+8.48,20
17,Iowa,B10,16-7,+19.39,119.2,4,99.8,110,70.2,56,-.063,301,+4.69,68
18,Alabama,SEC,15-9,+19.37,117.0,11,97.6,75,71.8,16,-.033,250,+12.56,1
19,Saint Mary's,WCC,20-5,+19.29,110.8,47,91.5,18,63.9,332,+.005,177,+3.64,85
20,Connecticut,BE,16-7,+19.04,114.2,23,95.2,43,66.2,246,-.064,302,+5.03,60
21,Ohio St.,B10,14-6,+18.09,118.4,6,100.3,127,65.9,258,+.006,175,+8.79,16
22,Arkansas,SEC,19-5,+17.14,110.0,54,92.9,24,71.7,18,+.029,118,+3.77,83
23,Xavier,BE,17-7,+16.85,112.0,34,95.2,44,68.7,107,+.007,172,+7.69,28
24,Wisconsin,B10,19-4,+16.77,110.5,49,93.8,32,66.9,200,+.154,3,+9.91,10
25,Marquette,BE,16-8,+16.75,110.3,51,93.5,27,70.6,43,+.028,123,+10.47,5
26,Michigan St.,B10,17-6,+16.64,112.2,31,95.6,50,67.9,145,+.064,72,+8.40,22
27,Michigan,B10,13-9,+16.60,114.9,19,98.3,86,65.6,281,-.017,223,+10.00,9
28,Murray St.,OVC,23-2,+16.50,112.2,32,95.7,52,66.7,218,+.046,95,-4.31,277
29,Wake Forest,ACC,20-5,+16.13,110.7,48,94.5,39,70.2,55,+.042,97,+2.15,106
30,Oklahoma,B12,14-10,+15.85,109.5,62,93.7,30,65.8,262,-.062,297,+8.67,17
31,Loyola Chicago,MVC,18-5,+15.76,111.4,42,95.6,51,64.2,323,+.020,142,+2.47,97
32,Boise St.,MWC,19-5,+15.71,104.7,130,89.0,10,65.5,288,+.018,150,+4.68,69
33,USC,P12,20-4,+15.70,111.1,44,95.4,47,66.6,224,+.028,121,+1.93,112
34,Virginia Tech,ACC,14-10,+15.58,115.3,18,99.7,107,63.1,343,-.116,347,+4.28,76
35,Wyoming,MWC,20-3,+15.54,114.2,22,98.7,92,66.2,243,+.133,8,+3.70,84
36,San Francisco,WCC,20-6,+15.50,109.0,71,93.5,26,68.9,96,-.017,222,+1.94,110
37,Seton Hall,BE,15-7,+15.49,109.1,67,93.6,29,69.5,76,-.011,206,+8.16,23
38,Washington St.,P12,14-8,+15.47,108.1,81,92.6,22,66.1,249,-.111,343,+2.43,98
39,Colorado St.,MWC,19-3,+15.37,114.7,20,99.4,103,67.1,191,+.115,19,+2.06,108
40,Indiana,B10,16-7,+15.22,106.3,108,91.1,15,67.2,186,-.014,213,+4.13,78
41,Iowa St.,B12,16-8,+15.22,104.1,150,88.9,8,67.1,192,+.018,152,+7.82,27
42,UAB,CUSA,19-5,+15.21,112.0,37,96.7,63,69.3,82,-.059,291,-1.86,211
43,San Diego St.,MWC,14-6,+15.04,99.8,238,84.8,1,65.9,257,+.014,159,+4.60,70
44,North Carolina,ACC,17-7,+14.84,113.8,25,98.9,96,70.6,39,+.081,45,+6.79,35
45,Providence,BE,20-2,+14.83,110.2,52,95.4,45,65.5,282,+.222,1,+5.31,49
46,Utah St.,MWC,15-11,+14.52,111.9,38,97.4,70,67.2,187,-.130,352,+4.97,61
47,Mississippi St.,SEC,14-9,+14.17,112.8,27,98.6,91,65.3,295,-.052,278,+5.09,54
48,BYU,WCC,18-8,+14.00,109.5,61,95.5,48,68.5,117,+.047,90,+7.35,30
