Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,23-2,+33.49,122.5,2,89.0,6,73.4,4,-.042,277,+0.60,139
2,Kentucky,SEC,22-5,+28.07,120.6,3,92.6,22,68.4,133,-.033,258,+7.40,40
3,Arizona,P12,24-2,+28.04,118.2,8,90.2,8,73.0,9,+.035,112,+4.88,79
4,Baylor,B12,22-5,+26.86,118.4,7,91.5,16,68.3,138,+.006,167,+9.29,18
5,Kansas,B12,22-4,+26.16,120.3,4,94.2,28,69.5,85,+.036,108,+11.52,2
6,Auburn,SEC,24-3,+25.22,115.5,16,90.2,9,70.4,57,-.022,233,+8.02,29
7,Houston,Amer,22-4,+25.19,116.4,14,91.2,14,64.9,317,-.010,203,+3.22,96
8,UCLA,P12,19-5,+24.94,115.8,15,90.8,13,66.6,235,-.033,257,+7.72,32
9,Duke,ACC,23-4,+24.85,117.6,10,92.7,23,68.2,144,-.039,271,+4.62,84
10,Texas Tech,B12,21-6,+24.81,111.5,41,86.7,2,67.2,201,+.002,174,+8.67,23
11,Villanova,BE,21-6,+24.67,118.8,6,94.1,27,63.0,347,+.034,115,+10.08,11
12,Tennessee,SEC,19-7,+24.15,111.6,39,87.4,4,68.0,153,+.007,163,+11.36,4
13,Purdue,B10,24-4,+23.89,124.0,1,100.1,115,66.7,230,+.061,64,+7.47,37
14,Texas,B12,19-8,+21.51,111.8,35,90.3,10,63.5,343,-.027,244,+7.64,34
15,Illinois,B10,19-7,+20.48,114.1,20,93.6,24,67.5,191,+.035,110,+9.96,13
16,Iowa,B10,18-8,+20.08,119.6,5,99.5,102,70.6,48,-.071,320,+5.52,65
17,LSU,SEC,19-8,+19.52,106.8,106,87.3,3,69.8,72,-.025,240,+8.07,28
18,Connecticut,BE,19-7,+19.48,113.2,27,93.7,25,66.3,252,-.030,248,+6.52,48
19,Arkansas,SEC,21-6,+18.82,109.3,72,90.5,12,71.5,25,+.007,164,+5.48,67
20,Alabama,SEC,17-10,+18.80,117.5,11,98.7,81,72.0,17,-.011,205,+13.19,1
21,Saint Mary's,WCC,22-6,+18.59,109.8,63,91.2,15,64.3,333,+.027,127,+4.99,76
22,Ohio St.,B10,16-7,+18.49,117.7,9,99.2,91,65.6,289,+.003,172,+9.38,16
23,San Diego St.,MWC,17-6,+17.52,103.3,174,85.8,1,65.9,275,+.012,158,+5.07,74
24,San Francisco,WCC,21-7,+16.76,109.3,71,92.5,21,69.2,95,-.031,252,+3.79,88
25,Wisconsin,B10,21-5,+16.46,111.2,45,94.7,33,67.7,178,+.138,7,+10.05,12
26,Boise St.,MWC,21-6,+16.40,106.7,107,90.3,11,65.4,303,-.002,184,+4.85,80
27,Michigan St.,B10,18-8,+16.22,112.8,28,96.6,56,68.0,150,+.027,128,+8.99,22
28,USC,P12,23-4,+16.03,111.8,36,95.7,43,66.8,226,+.049,85,+3.15,97
29,Iowa St.,B12,18-9,+15.96,105.5,134,89.5,7,66.5,239,+.011,161,+8.41,25
30,Murray St.,OVC,26-2,+15.96,111.8,37,95.8,44,66.7,233,+.063,62,-4.15,269
31,Wake Forest,ACC,21-7,+15.72,111.2,46,95.5,41,70.5,52,+.012,157,+3.53,92
32,Michigan,B10,14-11,+15.58,113.7,22,98.2,73,66.2,258,-.018,222,+11.47,3
33,Virginia Tech,ACC,16-11,+15.54,113.6,23,98.1,70,63.5,342,-.104,346,+5.01,75
34,Marquette,BE,17-10,+15.45,111.4,43,95.9,47,70.8,41,-.004,186,+9.87,14
35,Loyola Chicago,MVC,20-6,+15.35,112.7,30,97.3,64,64.8,320,+.013,151,+2.78,104
36,Seton Hall,BE,16-9,+15.27,109.8,65,94.5,31,69.1,97,-.025,239,+9.61,15
37,Xavier,BE,17-9,+15.20,111.1,47,95.9,46,68.9,103,-.006,196,+8.48,24
38,Mississippi St.,SEC,16-11,+14.94,112.0,34,97.0,62,66.0,269,-.065,314,+6.65,46
39,Colorado St.,MWC,21-4,+14.92,114.9,18,100.0,112,66.7,229,+.132,9,+3.94,87
40,Oklahoma,B12,14-13,+14.88,111.0,50,96.1,51,65.6,285,-.084,330,+10.62,7
41,North Texas,CUSA,20-4,+14.87,107.4,97,92.5,20,59.5,358,+.049,87,+1.76,116
42,Memphis,Amer,15-9,+14.56,109.5,69,95.0,36,71.4,27,-.049,288,+6.94,43
43,North Carolina,ACC,19-8,+14.41,113.5,25,99.1,88,71.1,37,+.071,48,+6.51,49
44,Washington St.,P12,14-12,+14.33,106.5,111,92.2,18,66.4,248,-.145,358,+4.92,78
45,Indiana,B10,16-9,+14.14,106.3,114,92.2,17,67.7,174,-.034,261,+5.61,63
46,Providence,BE,22-3,+14.08,111.4,42,97.4,66,65.9,277,+.207,1,+6.11,58
47,Dayton,A10,19-8,+14.05,109.0,76,95.0,35,63.9,340,-.025,238,+1.10,132
48,Wyoming,MWC,22-4,+13.94,113.4,26,99.5,101,66.4,243,+.111,16,+2.51,108
49,UAB,CUSA,20-7,+13.92,112.2,32,98.3,75,69.6,79,-.086,331,-1.36,184
50,Florida,SEC,17-10,+13.44,109.6,68,96.1,52,65.6,286,-.006,191,+6.65,47
51,Oklahoma St.,B12,13-13,+13.39,105.6,132,92.2,19,68.9,102,-.067,317,+10.44,9
52,BYU,WCC,19-9,+13.38,110.8,55,97.4,67,68.6,118,+.038,101,+7.37,41
53,Utah St.,MWC,15-13,+13.23,111.7,38,98.5,78,67.3,199,-.119,349,+6.38,52
54,Kansas St.,B12,14-12,+13.09,109.1,75,96.0,48,66.3,251,-.049,289,+10.10,10
55,SMU,Amer,19-6,+13.03,110.8,54,97.8,68,68.6,119,+.058,70,+2.88,102
56,Davidson,A10,22-4,+12.99,117.0,12,104.0,192,64.8,321,+.033,117,+1.12,131
57,TCU,B12,16-8,+12.81,106.6,110,93.8,26,66.4,244,+.051,77,+7.27,42
58,Notre Dame,ACC,19-8,+12.35,110.8,53,98.5,77,65.8,280,+.054,73,+6.72,45
59,Saint Louis,A10,18-9,+12.33,110.5,59,98.1,72,68.7,116,-.040,273,+2.85,103
60,St. John's,BE,15-11,+11.97,109.8,64,97.8,69,73.7,3,-.059,304,+5.33,71
61,Missouri St.,MVC,20-9,+11.93,113.8,21,101.9,146,67.0,218,-.043,280,+0.90,135
62,Vermont,AE,22-5,+11.82,112.4,31,100.6,123,65.5,295,-.036,266,-5.45,303
63,Creighton,BE,18-8,+11.67,106.1,118,94.4,29,67.5,189,+.105,22,+6.46,51
64,Belmont,OVC,24-5,+11.67,111.0,49,99.3,96,69.5,84,+.076,44,-2.48,228
65,Fresno St.,MWC,16-10,+11.65,106.1,119,94.4,30,61.2,356,-.066,316,+2.92,100
66,West Virginia,B12,14-12,+11.58,106.6,109,95.0,37,68.1,147,+.012,156,+10.82,5
67,Miami FL,ACC,19-8,+11.50,114.2,19,102.7,157,68.2,143,+.093,30,+6.27,55
68,Northwestern,B10,12-13,+11.32,108.2,88,96.9,59,68.1,145,-.137,355,+8.11,27
69,South Dakota St.,Sum,25-4,+11.26,116.5,13,105.3,213,70.5,50,+.050,83,-3.91,260
70,VCU,A10,18-7,+11.20,99.5,248,88.3,5,68.5,130,+.097,25,+4.99,77
71,Syracuse,ACC,14-12,+11.19,115.2,17,104.1,194,68.6,117,-.048,285,+6.36,53
72,Oregon,P12,17-10,+11.08,111.0,48,99.9,111,67.7,177,+.036,109,+6.15,56
73,Rutgers,B10,16-10,+11.07,107.1,103,96.0,49,65.4,305,+.022,133,+6.31,54
74,Santa Clara,WCC,18-10,+10.61,112.1,33,101.4,137,71.3,33,-.000,179,+2.98,99
75,Towson,CAA,21-7,+10.61,111.3,44,100.7,124,64.7,323,-.019,226,-2.00,208
76,Virginia,ACC,17-10,+10.59,109.2,73,98.6,79,59.6,357,+.029,123,+5.24,72
77,Vanderbilt,SEC,14-12,+10.47,106.3,113,95.9,45,67.9,161,-.030,250,+7.72,31
78,Furman,SC,19-10,+10.47,113.6,24,103.1,167,66.1,265,-.064,311,-0.07,158
79,Texas A&M,SEC,16-11,+10.43,107.3,100,96.8,57,67.3,200,-.046,282,+5.44,69
80,Chattanooga,SC,22-7,+10.41,110.5,57,100.1,114,65.4,301,+.003,171,+0.41,146
81,Penn St.,B10,11-12,+10.18,105.6,133,95.4,39,62.6,351,-.037,267,+9.36,17
82,Iona,MAAC,22-5,+10.07,108.9,78,98.8,83,69.9,68,+.036,107,-0.26,164
83,UNLV,MWC,16-11,+10.00,109.7,66,99.7,108,66.9,220,-.004,189,+4.55,86
84,Colorado,P12,18-9,+9.87,106.1,120,96.2,53,67.6,187,+.059,69,+3.78,89
85,New Mexico St.,WAC,22-4,+9.40,108.2,89,98.8,82,67.8,165,+.157,4,+0.84,136
86,St. Bonaventure,A10,17-7,+9.35,110.8,52,101.5,140,66.1,262,+.095,29,+2.78,105
87,Wichita St.,Amer,13-11,+9.35,104.3,153,95.0,34,67.7,175,-.064,312,+5.45,68
88,Clemson,ACC,12-15,+9.05,110.5,58,101.4,136,67.0,215,-.131,353,+6.14,57
89,Maryland,B10,12-14,+8.97,108.6,81,99.6,105,67.1,210,-.030,249,+9.06,21
90,Drake,MVC,19-9,+8.86,108.7,80,99.8,109,67.0,212,-.012,210,+1.21,125
91,Cincinnati,Amer,17-10,+8.64,106.0,124,97.3,65,68.5,127,-.033,256,+1.49,122
92,Bradley,MVC,16-12,+8.62,105.7,131,97.0,63,67.7,176,-.094,338,+1.17,128
93,Toledo,MAC,21-6,+8.57,110.2,60,101.6,142,70.1,65,+.038,102,-2.40,224
94,Northern Iowa,MVC,16-10,+8.30,109.1,74,100.8,126,67.8,167,-.001,182,+3.39,93
95,Richmond,A10,17-10,+8.19,109.6,67,101.4,135,67.6,186,+.012,155,+3.25,95
96,South Carolina,SEC,16-10,+7.90,103.2,177,95.3,38,70.5,53,+.107,21,+8.12,26
97,Tulane,Amer,12-11,+7.29,109.0,77,101.7,143,67.9,160,-.074,323,+2.90,101
98,Louisiana Tech,CUSA,19-7,+7.27,108.3,86,101.1,130,69.8,73,+.013,152,-2.16,216
99,Mississippi,SEC,13-14,+7.12,106.0,122,98.9,84,66.0,273,-.043,279,+6.49,50
100,Florida St.,ACC,14-12,+6.96,106.1,117,99.2,90,68.0,151,+.037,104,+7.65,33
101,UCF,Amer,16-9,+6.93,107.3,99,100.4,120,67.9,162,+.069,52,+3.32,94
102,Middle Tennessee,CUSA,19-7,+6.77,107.6,93,100.8,127,68.7,112,+.036,105,-1.18,182
103,Hofstra,CAA,19-9,+6.69,110.7,56,104.0,193,69.1,96,+.034,113,+1.42,123
104,Minnesota,B10,13-12,+6.68,107.2,101,100.6,122,65.4,300,+.057,72,+9.19,20
105,Stanford,P12,15-12,+6.66,105.9,126,99.3,94,66.9,223,+.097,27,+7.88,30
106,Grand Canyon,WAC,18-7,+6.38,103.3,172,96.9,60,65.9,274,+.015,145,-2.60,232
107,UC Irvine,BW,13-7,+6.08,100.7,232,94.6,32,65.3,312,+.010,162,+1.17,129
108,Ohio,MAC,22-5,+6.00,105.5,135,99.5,100,68.0,149,+.108,20,-5.10,288
109,DePaul,BE,12-14,+5.97,106.2,116,100.2,116,68.8,107,-.058,302,+5.93,61
110,Liberty,ASun,19-9,+5.86,109.3,70,103.4,180,65.5,297,-.033,259,-3.31,244
111,George Mason,A10,13-12,+5.83,107.6,94,101.7,145,65.3,306,-.088,334,+1.74,117
112,Princeton,Ivy,19-5,+5.72,111.6,40,105.8,229,67.8,164,+.046,89,-4.80,281
113,Wofford,SC,16-12,+5.65,107.2,102,101.6,141,64.6,327,-.079,324,-0.14,160
114,Buffalo,MAC,16-8,+5.57,108.4,85,102.8,159,71.7,21,-.032,254,-2.75,234
115,Utah,P12,11-16,+5.45,107.9,90,102.4,150,66.7,232,-.107,347,+5.87,62
116,Western Kentucky,CUSA,17-11,+5.45,108.3,87,102.8,164,69.7,75,-.034,260,-0.85,173
117,Arizona St.,P12,10-15,+5.27,100.7,233,95.4,40,68.0,156,+.016,144,+10.60,8
118,Utah Valley,WAC,17-9,+5.11,105.3,138,100.2,117,66.0,268,-.004,188,-0.71,171
119,Seattle,WAC,21-6,+4.94,101.5,210,96.6,55,71.3,30,+.063,61,-5.91,312
120,Nevada,MWC,12-13,+4.76,107.3,98,102.6,154,70.9,40,+.007,165,+6.87,44
121,Stephen F. Austin,WAC,18-8,+4.68,101.0,224,96.3,54,70.1,66,+.005,168,-1.52,193
122,Temple,Amer,15-9,+4.54,102.6,189,98.1,71,66.4,247,+.088,35,+3.08,98
123,N.C. State,ACC,11-16,+4.36,109.9,62,105.6,223,67.4,195,-.074,322,+5.09,73
124,South Alabama,SB,18-9,+4.25,104.7,147,100.5,121,68.0,155,-.024,237,-1.46,189
125,Rhode Island,A10,13-12,+4.24,100.2,238,96.0,50,67.1,208,-.098,342,+0.29,151
126,Morehead St.,OVC,20-9,+4.05,103.9,163,99.8,110,65.5,299,+.051,78,-2.20,218
127,Florida Atlantic,CUSA,15-12,+3.99,107.7,92,103.8,186,66.8,225,-.131,354,-2.51,229
128,Colgate,Pat,17-11,+3.90,108.6,82,104.7,202,67.7,172,-.096,341,-5.62,308
129,Louisville,ACC,12-14,+3.82,102.8,185,98.9,86,67.8,166,+.004,169,+5.96,60
130,Wagner,NEC,19-3,+3.76,103.2,176,99.4,99,68.1,148,+.119,12,-9.34,356
