Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,7-2,+29.66,120.2,2,90.5,19,72.3,29,-.075,284,+2.01,129
2,Purdue,B10,8-0,+28.97,120.5,1,91.6,29,68.9,155,+.085,59,+3.98,97
3,Baylor,B12,8-0,+27.36,116.6,6,89.2,6,69.0,151,+.022,154,-6.34,315
4,Houston,Amer,7-1,+26.53,113.9,11,87.3,1,66.4,281,-.037,248,+1.12,156
5,Kansas,B12,6-1,+26.48,118.5,3,92.0,34,71.3,52,-.078,292,+5.57,72
6,Villanova,BE,6-2,+25.19,118.3,4,93.1,44,63.2,348,-.087,303,+4.81,84
7,Duke,ACC,7-1,+23.94,114.0,10,90.1,14,70.5,80,+.002,185,+1.88,134
8,UCLA,P12,7-1,+23.65,114.4,7,90.8,22,69.2,138,+.056,95,+1.93,132
9,Alabama,SEC,7-1,+23.31,114.2,8,90.9,24,73.1,17,+.000,190,+7.02,46
10,Tennessee,SEC,6-1,+22.73,111.1,27,88.4,3,70.6,73,+.040,120,+0.55,174
11,USC,P12,8-0,+22.48,112.0,19,89.5,10,67.5,232,+.069,85,+1.48,140
12,Texas,B12,6-1,+21.67,112.8,16,91.1,25,63.1,349,-.025,233,-9.96,347
13,Kentucky,SEC,6-1,+21.53,113.1,15,91.5,28,69.5,124,-.082,298,-10.06,348
14,LSU,SEC,8-0,+21.49,110.0,35,88.6,5,70.3,88,+.069,82,-0.01,188
15,Auburn,SEC,7-1,+21.45,112.3,18,90.8,23,71.5,46,-.051,260,+5.08,80
16,Florida,SEC,6-1,+21.24,111.3,25,90.0,13,69.1,143,+.003,183,+3.63,104
17,Illinois,B10,6-2,+21.21,112.0,20,90.8,21,68.9,153,+.003,182,+1.42,144
18,Michigan,B10,5-3,+21.18,111.1,26,90.0,12,66.7,273,+.022,153,+7.64,35
19,Texas Tech,B12,6-1,+21.14,111.6,23,90.5,20,67.9,204,-.059,274,-13.91,356
20,Arizona,P12,6-0,+20.88,110.8,29,89.9,11,72.6,23,+.044,115,-5.07,295
21,Iowa,B10,7-1,+20.66,117.1,5,96.5,80,71.9,36,-.026,234,-8.38,337
22,Ohio St.,B10,5-2,+20.28,114.2,9,93.9,49,66.9,256,+.030,139,+9.45,18
23,Michigan St.,B10,7-2,+19.90,107.4,68,87.5,2,70.8,67,+.088,56,+10.82,11
24,BYU,WCC,7-1,+19.24,110.5,33,91.3,26,68.1,195,+.036,127,+6.88,48
25,Connecticut,BE,8-1,+19.08,111.8,21,92.7,38,69.1,147,+.012,175,-9.83,345
26,Arkansas,SEC,8-0,+19.07,111.1,28,92.0,35,72.7,21,+.029,140,-5.07,294
27,Wisconsin,B10,7-1,+18.39,108.6,51,90.3,16,65.9,302,+.081,67,+6.51,51
28,Loyola Chicago,MVC,7-2,+17.70,111.7,22,94.0,52,65.5,316,-.020,221,-1.50,223
29,Indiana,B10,7-1,+17.55,107.8,62,90.2,15,69.9,96,+.020,162,-3.38,264
30,Virginia Tech,ACC,6-3,+17.02,109.8,37,92.8,40,63.6,343,-.077,287,+1.93,133
31,Seton Hall,BE,7-1,+17.01,108.8,49,91.8,31,71.0,64,+.028,143,+0.23,179
32,San Francisco,WCC,9-0,+16.97,109.5,40,92.6,37,67.9,201,+.083,64,-3.07,256
33,Memphis,Amer,5-3,+16.92,107.3,72,90.4,17,73.9,8,-.062,277,+3.00,111
34,Xavier,BE,6-1,+16.70,109.4,42,92.7,39,69.2,135,+.108,42,+0.06,186
35,Florida St.,ACC,5-3,+16.20,107.7,65,91.5,27,68.7,165,+.031,135,+6.31,54
36,North Carolina,ACC,5-2,+16.10,113.3,14,97.2,93,70.4,84,+.026,147,+4.21,94
37,Louisville,ACC,6-2,+15.64,106.1,86,90.4,18,69.7,107,+.020,160,+5.72,68
38,Saint Mary's,WCC,8-2,+15.58,105.0,104,89.4,8,65.2,320,+.074,75,+4.88,82
39,Oklahoma,B12,7-1,+15.57,107.3,71,91.7,30,67.6,226,+.055,96,-1.89,233
40,Colorado St.,MWC,9-0,+15.39,113.5,12,98.1,107,69.5,122,+.027,146,-4.08,278
41,Northwestern,B10,5-2,+15.38,109.7,38,94.3,55,67.4,237,-.128,333,-7.08,324
42,Mississippi St.,SEC,6-1,+15.03,109.0,45,94.0,50,65.6,313,+.007,178,-3.71,269
43,Oklahoma St.,B12,6-2,+14.91,104.2,113,89.3,7,69.1,144,-.016,210,-1.50,224
44,St. Bonaventure,A10,7-1,+14.73,109.5,41,94.8,57,66.5,276,+.102,44,-0.97,208
45,San Diego St.,MWC,5-3,+14.33,103.8,117,89.5,9,66.4,280,+.046,113,+6.10,62
46,UAB,CUSA,7-2,+14.24,108.2,53,94.0,51,69.6,116,-.069,281,-0.18,191
47,Washington St.,P12,6-2,+13.82,107.0,76,93.2,45,67.1,247,-.057,270,-3.59,267
48,Oregon,P12,5-3,+13.66,110.8,30,97.1,91,65.8,304,+.047,109,+5.97,65
49,Maryland,B10,5-3,+13.63,106.7,83,93.1,43,68.9,152,-.005,197,+1.28,151
50,West Virginia,B12,7-1,+13.59,107.9,61,94.3,54,66.8,267,+.050,105,-2.56,244
51,Wichita St.,Amer,6-1,+13.19,105.0,102,91.8,32,68.2,188,+.035,129,+5.18,79
52,Virginia,ACC,6-3,+13.12,106.9,81,93.8,48,58.8,358,+.000,191,-0.86,206
53,Notre Dame,ACC,3-4,+13.06,111.6,24,98.5,112,67.5,230,-.117,323,+6.97,47
54,Clemson,ACC,5-4,+12.75,108.8,47,96.1,74,66.5,277,-.145,342,+1.44,143
55,Providence,BE,8-1,+12.62,109.0,46,96.3,77,66.7,270,+.172,12,+3.95,98
56,Syracuse,ACC,5-3,+12.12,112.7,17,100.6,157,70.1,92,+.085,58,+6.58,50
57,UCF,Amer,4-2,+12.05,107.9,59,95.9,70,67.6,221,+.025,150,+3.67,103
58,Wake Forest,ACC,8-1,+11.89,107.9,58,96.0,73,70.4,82,+.053,104,-4.13,279
59,Belmont,OVC,6-3,+11.85,109.9,36,98.1,106,70.8,68,+.038,123,+4.33,93
60,Utah St.,MWC,6-2,+11.53,107.1,75,95.6,64,67.7,212,-.070,283,+2.65,117
61,Texas A&M,SEC,7-1,+11.39,104.2,115,92.8,41,66.7,271,+.074,76,-5.61,305
62,Drake,MVC,4-3,+11.29,108.2,56,96.9,85,67.3,241,-.129,335,+4.76,86
63,St. John's,BE,5-2,+11.10,108.2,55,97.1,90,72.4,26,+.021,158,-9.57,344
64,Richmond,A10,4-4,+11.10,110.6,32,99.5,131,68.2,191,-.083,299,+6.18,59
65,Iowa St.,B12,8-0,+11.07,103.6,124,92.6,36,69.2,140,+.073,77,-5.08,296
66,Mississippi,SEC,6-2,+11.06,103.0,136,91.9,33,66.8,266,-.044,253,-8.25,336
67,Davidson,A10,6-2,+10.89,108.7,50,97.8,98,66.1,296,-.052,264,-2.27,240
68,Colorado,P12,6-3,+10.83,107.9,60,97.0,89,66.9,257,+.066,88,+0.11,185
69,Georgia Tech,ACC,5-2,+10.44,106.8,82,96.4,78,68.8,157,-.058,273,-5.99,309
70,Utah,P12,5-2,+10.36,107.2,73,96.9,84,68.5,172,+.023,152,+0.38,176
71,Creighton,BE,7-2,+10.34,106.9,80,96.6,82,67.6,224,+.069,84,-3.12,258
72,Cincinnati,Amer,6-2,+10.30,103.3,128,93.0,42,67.3,242,-.051,262,-0.64,201
73,Kansas St.,B12,4-2,+10.30,104.7,107,94.4,56,67.3,239,-.084,300,-9.05,343
