Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,17-2,+32.70,123.3,2,90.6,17,73.2,2,-.052,276,+0.20,164
2,Baylor,B12,18-3,+29.72,118.7,5,89.0,10,67.2,173,-.018,225,+7.31,25
3,Kentucky,SEC,17-4,+28.78,120.1,4,91.3,19,68.2,122,-.065,297,+4.43,67
4,Arizona,P12,17-2,+28.01,115.8,15,87.8,7,73.2,3,+.004,172,+3.35,88
5,Houston,Amer,18-2,+27.90,117.1,9,89.2,13,64.5,312,+.003,176,+1.65,130
6,Purdue,B10,17-3,+27.35,124.5,1,97.2,74,66.3,235,-.006,192,+5.88,44
7,Auburn,SEC,20-1,+27.35,116.4,12,89.1,12,69.1,86,+.011,159,+7.77,23
8,Villanova,BE,16-5,+27.24,118.2,6,91.0,18,60.6,356,+.002,177,+10.03,7
9,UCLA,P12,16-2,+25.76,114.5,17,88.8,9,67.2,178,+.022,141,+6.35,35
10,Kansas,B12,17-3,+24.31,120.2,3,95.9,55,68.8,94,+.049,94,+9.66,9
11,Texas Tech,B12,16-5,+24.13,109.5,59,85.4,3,65.7,263,-.036,255,+4.50,65
12,Duke,ACC,17-3,+23.91,116.5,11,92.6,24,67.9,134,-.034,252,+2.62,104
13,Tennessee,SEC,14-6,+23.08,109.9,55,86.8,5,68.3,117,-.012,206,+10.48,3
14,LSU,SEC,16-5,+22.65,104.9,128,82.2,1,68.9,92,+.005,171,+8.59,16
15,Texas,B12,16-5,+21.88,110.9,45,89.0,11,61.6,349,-.034,249,+2.36,109
16,Illinois,B10,15-5,+20.94,113.6,22,92.7,25,66.5,220,+.026,134,+8.20,19
17,Connecticut,BE,15-4,+20.94,113.8,20,92.8,27,66.0,255,-.032,245,+2.92,101
18,Alabama,SEC,14-7,+20.48,117.6,8,97.1,72,71.1,24,-.042,265,+12.30,1
19,Michigan St.,B10,16-4,+20.44,112.5,28,92.1,21,68.5,104,+.046,103,+8.72,15
20,Saint Mary's,WCC,17-4,+19.05,108.7,68,89.7,14,63.6,336,+.031,124,+4.93,59
21,Iowa,B10,14-6,+18.91,117.8,7,98.9,99,69.9,58,-.052,277,+4.35,70
22,Xavier,BE,15-5,+18.70,111.9,35,93.2,29,69.2,82,+.028,130,+8.13,21
23,Ohio St.,B10,13-4,+18.53,116.2,14,97.7,79,66.1,248,+.062,71,+8.42,18
24,Iowa St.,B12,16-5,+17.88,106.0,107,88.2,8,66.5,221,+.018,149,+5.55,50
25,Wisconsin,B10,16-3,+17.61,112.2,32,94.5,41,66.7,205,+.150,8,+10.24,5
26,Indiana,B10,16-5,+17.54,107.8,75,90.3,15,67.3,167,-.006,190,+3.43,86
27,Loyola Chicago,MVC,16-3,+17.12,111.4,38,94.3,39,63.8,331,+.047,98,+1.65,129
28,USC,P12,18-3,+17.02,111.9,36,94.9,43,66.7,208,+.019,148,+2.15,114
29,BYU,WCC,17-6,+16.78,110.1,51,93.3,30,68.6,98,+.004,173,+7.05,28
30,Oklahoma,B12,13-8,+16.70,109.3,63,92.6,23,66.0,253,-.047,271,+8.48,17
31,Marquette,BE,15-6,+16.40,108.9,67,92.5,22,70.2,49,+.061,73,+9.46,12
32,Boise St.,MWC,17-4,+16.08,103.5,150,87.4,6,65.3,288,+.025,136,+5.11,57
33,Michigan,B10,10-8,+16.02,113.7,21,97.7,78,65.3,286,-.038,257,+9.63,10
