Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,7-2,+29.53,120.2,2,90.7,20,72.5,25,-.075,288,+1.53,140
2,Purdue,B10,8-0,+29.06,120.7,1,91.6,28,69.0,153,+.085,57,+4.16,94
3,Baylor,B12,8-0,+27.39,116.7,6,89.3,6,69.1,147,+.022,153,-6.26,320
4,Houston,Amer,7-1,+26.44,113.9,12,87.5,1,66.5,278,-.037,246,+0.97,153
5,Kansas,B12,6-1,+26.39,118.5,3,92.1,34,71.4,52,-.078,294,+5.32,73
6,Villanova,BE,6-2,+25.20,118.4,4,93.2,45,63.2,348,-.087,304,+4.82,83
7,Duke,ACC,7-1,+23.95,114.1,11,90.2,14,70.5,79,+.002,182,+1.91,131
8,UCLA,P12,7-1,+23.56,114.5,8,90.9,23,69.3,140,+.056,94,+1.64,137
9,Alabama,SEC,7-1,+23.26,114.3,10,91.0,24,73.1,17,+.000,186,+6.91,44
10,Tennessee,SEC,6-1,+22.86,111.3,29,88.4,3,70.7,72,+.040,120,+0.84,162
11,USC,P12,8-0,+22.49,112.1,20,89.6,10,67.6,233,+.069,86,+1.50,141
12,Arizona,P12,7-0,+22.15,111.7,24,89.6,8,73.4,12,+.038,122,-2.72,252
13,Texas,B12,6-1,+21.67,112.9,16,91.2,25,63.1,351,-.025,230,-9.93,347
14,Auburn,SEC,7-1,+21.47,112.4,18,90.9,22,71.5,48,-.051,264,+5.13,79
15,LSU,SEC,8-0,+21.41,110.1,34,88.7,5,70.3,87,+.069,83,-0.17,187
16,Kentucky,SEC,6-1,+21.39,113.1,15,91.7,30,69.6,125,-.082,301,-10.74,350
17,Michigan,B10,5-3,+21.31,111.3,28,90.0,12,66.8,266,+.022,152,+7.78,31
18,Illinois,B10,6-2,+21.29,112.2,19,90.9,21,68.9,157,+.003,179,+1.61,138
19,Florida,SEC,6-1,+21.22,111.3,27,90.1,13,69.2,144,+.003,180,+3.52,101
20,Texas Tech,B12,6-1,+21.05,111.7,23,90.7,19,68.0,207,-.059,277,-14.33,356
21,Ohio St.,B10,6-2,+20.85,114.6,7,93.7,49,67.5,239,+.030,138,+10.09,12
22,Iowa,B10,7-1,+20.64,117.2,5,96.6,80,71.9,36,-.026,231,-8.50,339
23,Michigan St.,B10,7-2,+19.87,107.5,68,87.6,2,70.9,67,+.088,54,+10.78,10
