Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,24-2,+34.14,123.7,2,89.6,6,73.2,6,-.038,266,+1.53,123
2,Arizona,P12,25-2,+28.23,118.7,8,90.5,7,73.4,4,+.034,107,+5.16,77
3,Kentucky,SEC,23-5,+27.89,121.4,3,93.5,20,68.0,146,-.023,238,+7.80,33
4,Baylor,B12,23-5,+26.66,118.3,9,91.6,15,67.9,154,+.018,138,+9.77,16
5,Kansas,B12,23-4,+26.25,121.3,4,95.0,31,69.8,66,+.033,109,+11.22,6
6,Houston,Amer,23-4,+25.62,117.6,13,91.9,17,64.8,315,-.008,193,+3.64,95
7,Texas Tech,B12,22-6,+25.59,111.5,50,85.9,1,67.0,208,-.000,180,+8.65,25
8,Auburn,SEC,25-3,+25.16,115.9,15,90.7,8,70.3,50,-.023,234,+7.92,32
9,Duke,ACC,24-4,+24.89,118.2,10,93.3,19,68.1,141,-.029,251,+5.19,76
10,Tennessee,SEC,20-7,+24.54,112.5,34,87.9,4,68.0,148,+.009,164,+11.17,7
11,Villanova,BE,21-7,+24.46,119.6,6,95.2,34,62.9,346,+.014,153,+10.55,11
12,UCLA,P12,20-6,+24.14,115.1,17,91.0,9,66.3,247,-.046,279,+7.79,34
13,Purdue,B10,24-4,+23.91,124.5,1,100.6,118,66.6,228,+.061,59,+7.49,40
14,Texas,B12,20-8,+21.57,112.8,29,91.3,12,63.4,342,-.019,225,+7.65,37
15,Iowa,B10,20-8,+21.10,120.5,5,99.4,88,70.2,52,-.063,307,+5.72,67
16,Illinois,B10,19-8,+19.94,114.8,20,94.8,27,67.6,171,+.015,145,+10.06,14
17,LSU,SEC,19-9,+19.72,107.6,107,87.9,3,69.4,84,-.040,270,+8.88,24
18,Connecticut,BE,20-7,+19.61,114.1,23,94.5,25,66.1,255,-.016,216,+7.04,44
19,Ohio St.,B10,18-7,+19.31,118.8,7,99.4,89,65.8,273,+.022,128,+10.11,13
20,Arkansas,SEC,22-6,+19.19,110.8,60,91.6,14,71.2,28,+.012,156,+5.84,65
21,Saint Mary's,WCC,23-6,+19.05,110.0,70,91.0,10,64.2,335,+.027,122,+5.10,78
22,Alabama,SEC,18-10,+18.74,117.6,12,98.9,77,72.0,16,+.003,174,+13.26,1
23,San Diego St.,MWC,18-7,+17.92,104.4,164,86.5,2,65.7,276,-.015,212,+5.09,79
24,Murray St.,OVC,27-2,+17.51,112.6,32,95.1,32,66.3,249,+.059,60,-3.73,258
25,San Francisco,WCC,22-8,+17.34,110.9,58,93.6,22,69.3,86,-.028,249,+4.58,86
26,Wisconsin,B10,22-5,+16.43,112.1,40,95.7,37,67.3,192,+.147,6,+10.23,12
27,Boise St.,MWC,22-6,+16.33,107.7,106,91.3,13,65.2,307,+.011,162,+5.21,75
28,Loyola Chicago,MVC,22-6,+16.28,112.1,38,95.8,40,64.6,323,+.025,125,+2.10,116
29,Iowa St.,B12,19-9,+15.87,107.0,116,91.1,11,66.4,244,+.023,127,+8.42,26
30,Michigan,B10,15-11,+15.85,114.0,24,98.2,68,66.3,248,-.008,194,+11.36,5
31,USC,P12,24-4,+15.52,111.9,41,96.4,48,66.8,218,+.058,63,+3.10,101
32,Marquette,BE,17-10,+15.48,111.9,43,96.4,47,70.7,41,-.004,186,+9.90,15
33,Virginia Tech,ACC,17-11,+15.42,113.8,26,98.4,71,63.3,343,-.090,340,+5.04,80
34,Michigan St.,B10,18-9,+15.28,112.5,33,97.2,55,68.0,144,+.041,95,+9.73,17
35,Xavier,BE,17-10,+15.06,111.9,42,96.8,51,68.5,114,-.021,229,+8.96,23
36,Colorado St.,MWC,22-4,+15.03,114.9,19,99.8,98,66.5,240,+.136,8,+4.06,88
37,Seton Hall,BE,17-9,+14.91,109.9,72,95.0,28,69.0,98,-.014,209,+9.11,22
38,Wake Forest,ACC,21-8,+14.88,111.6,47,96.7,50,70.3,51,+.006,167,+3.89,91
39,North Texas,CUSA,21-4,+14.79,108.4,91,93.6,21,59.6,357,+.043,91,+0.77,136
40,Memphis,Amer,16-9,+14.75,110.5,64,95.7,38,71.1,31,-.046,280,+6.56,53
41,North Carolina,ACC,20-8,+14.49,114.0,25,99.5,91,70.8,39,+.078,43,+6.46,55
42,Dayton,A10,20-8,+14.49,110.2,67,95.7,39,63.5,341,-.026,244,+0.69,138
43,Mississippi St.,SEC,16-12,+14.35,111.8,44,97.4,57,65.8,272,-.072,319,+7.11,43
44,Providence,BE,23-3,+14.31,112.6,31,98.3,69,65.5,291,+.208,1,+6.33,59
45,Oklahoma,B12,14-14,+14.25,110.4,65,96.2,44,65.5,292,-.074,320,+11.53,3
46,Indiana,B10,17-10,+14.19,106.9,118,92.7,18,67.5,180,-.035,261,+6.32,60
47,Washington St.,P12,15-12,+14.07,107.7,104,93.7,23,66.0,263,-.132,356,+4.53,87
48,BYU,WCC,20-9,+13.83,111.5,51,97.7,61,68.3,126,+.035,106,+6.87,49
49,UAB,CUSA,21-7,+13.80,112.1,39,98.3,70,69.3,85,-.081,329,-1.67,192
50,Davidson,A10,23-4,+13.78,117.7,11,103.9,172,64.5,328,+.032,112,+0.86,133
51,Wyoming,MWC,22-5,+13.78,113.1,27,99.3,86,66.1,253,+.093,28,+3.22,99
52,Utah St.,MWC,16-13,+13.77,112.3,35,98.5,73,67.3,194,-.117,349,+5.92,64
53,Oklahoma St.,B12,13-14,+13.61,105.6,143,91.9,16,68.5,113,-.082,330,+10.92,10
54,TCU,B12,17-9,+13.17,108.2,97,95.0,29,66.5,241,+.045,89,+8.02,30
55,SMU,Amer,20-6,+13.14,111.1,54,98.0,66,68.5,112,+.059,61,+2.53,110
56,Florida,SEC,17-11,+12.96,110.7,63,97.7,64,65.4,299,-.017,220,+7.00,46
57,Kansas St.,B12,14-13,+12.87,109.7,74,96.9,52,66.5,233,-.048,285,+11.04,9
58,Notre Dame,ACC,20-8,+12.82,111.5,49,98.7,76,65.8,271,+.056,69,+6.84,50
59,Fresno St.,MWC,17-10,+12.68,107.0,114,94.3,24,61.1,356,-.067,313,+2.64,108
60,Missouri St.,MVC,21-9,+12.49,114.5,21,102.0,137,67.0,209,-.041,272,+1.01,130
61,Saint Louis,A10,19-10,+12.30,111.0,56,98.7,75,68.1,137,-.052,292,+2.94,102
62,Miami FL,ACC,20-8,+12.24,115.2,16,102.9,153,68.3,125,+.087,34,+6.11,61
63,Creighton,BE,19-8,+12.07,106.8,119,94.8,26,67.7,168,+.116,11,+6.99,47
64,Vermont,AE,23-5,+12.05,112.3,36,100.2,108,65.3,300,-.037,265,-5.61,301
65,Oregon,P12,18-10,+11.74,111.4,52,99.7,96,67.6,173,+.047,86,+6.75,51
66,St. John's,BE,15-12,+11.55,110.1,68,98.6,74,73.8,2,-.075,321,+5.40,71
67,West Virginia,B12,14-14,+11.52,108.5,89,97.0,53,68.1,140,-.012,204,+11.65,2
68,VCU,A10,19-7,+11.21,100.3,248,89.1,5,68.5,116,+.104,18,+4.87,82
69,South Dakota St.,Sum,26-4,+11.12,117.1,14,106.0,222,70.5,45,+.058,62,-3.62,252
70,Northwestern,B10,13-14,+10.96,108.6,85,97.7,62,67.7,164,-.133,357,+7.70,36
71,Rutgers,B10,16-11,+10.91,107.1,111,96.2,43,65.5,295,+.011,160,+7.01,45
72,Towson,CAA,22-7,+10.90,111.7,46,100.8,120,64.8,314,-.020,228,-2.19,214
73,Virginia,ACC,17-11,+10.87,109.8,73,99.0,78,59.5,358,+.013,154,+6.01,62
74,Santa Clara,WCC,19-10,+10.84,112.8,30,101.9,136,71.1,35,+.001,179,+2.54,109
75,Vanderbilt,SEC,14-13,+10.72,106.6,121,95.9,41,67.9,153,-.047,283,+8.28,28
76,Texas A&M,SEC,17-11,+10.61,108.3,92,97.7,63,67.2,204,-.042,275,+4.92,81
77,Chattanooga,SC,23-7,+10.41,110.9,57,100.5,115,65.7,280,+.010,163,+0.48,143
78,UNLV,MWC,17-11,+10.39,110.0,69,99.6,95,66.4,243,+.006,169,+4.65,85
