Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,17-2,+32.67,123.4,2,90.7,17,73.3,2,-.052,277,+0.21,166
2,Baylor,B12,18-3,+29.70,118.8,5,89.1,10,67.4,174,-.018,226,+7.31,25
3,Kentucky,SEC,17-4,+28.76,120.2,4,91.4,19,68.3,125,-.065,297,+4.43,69
4,Arizona,P12,17-2,+27.90,115.9,15,88.0,7,73.3,3,+.004,176,+3.24,93
5,Houston,Amer,18-2,+27.89,117.2,9,89.3,13,64.6,313,+.003,178,+1.68,128
6,Auburn,SEC,20-1,+27.28,116.5,14,89.2,12,69.3,86,+.011,160,+7.74,23
7,Villanova,BE,16-5,+27.21,118.3,6,91.1,18,60.7,356,+.002,179,+10.02,6
8,Purdue,B10,18-3,+26.84,125.1,1,98.3,90,66.5,233,+.009,166,+6.34,37
9,UCLA,P12,16-2,+25.57,114.6,18,89.0,9,67.4,175,+.022,140,+6.12,42
10,Kansas,B12,17-3,+24.36,120.3,3,96.0,52,69.0,93,+.049,91,+9.75,11
11,Texas Tech,B12,16-5,+24.13,109.7,59,85.5,3,65.9,264,-.036,255,+4.52,66
12,Duke,ACC,17-3,+23.91,116.6,12,92.7,24,68.1,135,-.034,253,+2.64,103
13,Tennessee,SEC,14-6,+22.97,110.0,56,87.0,5,68.4,116,-.012,208,+10.35,4
14,LSU,SEC,16-5,+22.63,105.0,126,82.4,1,69.0,92,+.005,174,+8.60,17
15,Texas,B12,16-5,+21.87,111.0,45,89.1,11,61.8,349,-.034,250,+2.38,111
16,Illinois,B10,15-5,+20.92,113.8,22,92.8,27,66.6,221,+.026,134,+8.19,20
17,Connecticut,BE,15-4,+20.90,113.9,20,93.0,29,66.1,254,-.032,246,+2.91,100
18,Alabama,SEC,14-7,+20.41,117.6,8,97.2,71,71.2,24,-.042,264,+12.24,1
19,Michigan St.,B10,16-4,+20.40,112.7,28,92.3,22,68.7,102,+.046,99,+8.70,16
20,Saint Mary's,WCC,17-4,+19.04,108.9,67,89.8,14,63.7,336,+.031,124,+4.94,61
21,Ohio St.,B10,13-5,+18.90,117.0,11,98.1,84,66.2,244,+.032,122,+9.76,10
22,Iowa,B10,14-6,+18.85,117.9,7,99.0,98,70.1,58,-.052,278,+4.35,71
23,Xavier,BE,15-5,+18.74,112.1,33,93.3,30,69.4,82,+.028,130,+8.19,19
24,Iowa St.,B12,16-5,+17.88,106.1,109,88.3,8,66.6,223,+.018,150,+5.57,51
25,Indiana,B10,16-5,+17.53,107.9,79,90.3,15,67.5,168,-.006,193,+3.46,84
26,Wisconsin,B10,17-3,+17.44,111.8,35,94.4,39,66.9,199,+.152,7,+9.89,9
27,USC,P12,18-3,+17.01,112.0,34,95.0,44,66.9,206,+.019,148,+2.15,117
28,BYU,WCC,17-6,+16.76,110.1,51,93.4,31,68.8,96,+.004,177,+7.04,28
29,Oklahoma,B12,13-8,+16.69,109.5,62,92.8,26,66.1,255,-.047,271,+8.50,18
30,Marquette,BE,15-7,+16.36,108.8,68,92.5,23,70.2,52,+.036,111,+9.98,7
31,Boise St.,MWC,17-4,+16.16,103.7,148,87.5,6,65.4,287,+.025,136,+5.20,56
32,Loyola Chicago,MVC,16-4,+16.13,111.1,44,94.9,42,64.3,324,+.030,125,+2.41,110
33,Michigan,B10,10-8,+16.02,113.8,21,97.8,78,65.4,286,-.038,258,+9.65,12
34,North Carolina,ACC,15-6,+15.83,113.1,25,97.3,74,70.8,36,+.059,77,+6.16,41
35,Washington St.,P12,12-7,+15.70,107.9,80,92.2,21,66.2,250,-.146,351,+1.39,136
36,San Francisco,WCC,17-5,+15.43,109.3,64,93.8,33,68.4,118,-.012,209,+3.06,97
37,Murray St.,OVC,20-2,+15.43,111.1,43,95.7,49,67.4,176,+.051,89,-3.57,281
38,San Diego St.,MWC,11-5,+15.38,101.8,193,86.4,4,65.8,267,+.023,139,+5.90,46
39,Arkansas,SEC,16-5,+15.21,110.3,50,95.1,46,71.6,17,+.015,152,+2.64,102
40,Virginia Tech,ACC,11-10,+15.00,113.2,23,98.3,89,62.8,344,-.148,353,+6.37,36
41,Florida,SEC,13-8,+14.88,111.1,41,96.2,58,66.7,214,-.056,282,+6.02,44
42,Utah St.,MWC,12-9,+14.87,110.5,47,95.7,50,67.2,181,-.126,349,+6.90,29
43,Wake Forest,ACC,17-5,+14.82,110.7,46,95.9,51,70.0,60,+.038,108,+2.31,113
44,Seton Hall,BE,12-7,+14.74,109.1,65,94.3,37,70.1,54,-.044,265,+9.12,14
45,Mississippi St.,SEC,13-7,+14.50,112.7,29,98.2,86,65.7,270,-.034,252,+4.01,75
46,Providence,BE,18-2,+14.02,110.0,53,96.0,54,65.3,295,+.230,1,+5.76,48
47,UAB,CUSA,17-5,+13.97,110.0,55,96.0,55,69.4,80,-.059,285,-1.12,211
48,Colorado St.,MWC,16-2,+13.96,114.6,17,100.6,140,67.0,198,+.136,11,+0.23,164
49,Oregon,P12,13-7,+13.58,113.2,24,99.6,114,66.7,220,+.017,151,+5.59,50
50,TCU,B12,14-4,+13.36,105.1,124,91.8,20,66.0,263,+.098,33,+4.13,74
51,Davidson,A10,17-3,+12.95,116.5,13,103.6,194,64.4,322,+.029,127,+1.04,142
52,Oklahoma St.,B12,10-10,+12.89,103.5,154,90.6,16,68.7,101,-.065,296,+10.20,5
53,Wyoming,MWC,16-3,+12.74,112.8,27,100.0,126,66.1,253,+.100,30,+1.67,129
54,Miami FL,ACC,16-5,+12.72,114.2,19,101.5,154,68.0,143,+.125,16,+5.99,45
55,Fresno St.,MWC,14-6,+12.71,106.6,95,93.9,34,61.6,352,-.041,263,+2.07,118
56,Belmont,OVC,17-5,+12.69,112.2,31,99.6,112,69.3,85,+.053,84,+0.36,159
57,Missouri St.,MVC,16-7,+12.66,113.0,26,100.3,136,66.5,229,-.078,314,-0.13,177
58,Memphis,Amer,11-8,+12.56,108.2,76,95.6,48,71.4,19,-.085,325,+5.81,47
59,Chattanooga,SC,18-4,+12.50,112.5,30,100.0,122,64.3,325,+.031,123,+0.80,145
60,SMU,Amer,16-4,+12.39,111.2,39,98.8,96,68.0,142,+.069,59,+0.40,156
61,Saint Louis,A10,14-6,+12.33,109.5,63,97.1,68,68.4,119,-.048,274,+1.51,132
62,Clemson,ACC,11-9,+12.26,110.4,49,98.2,85,66.9,200,-.106,338,+4.80,62
63,Furman,SC,16-7,+12.17,112.2,32,100.0,124,65.8,268,-.038,259,+0.26,163
64,West Virginia,B12,13-7,+12.12,105.9,112,93.8,32,67.6,161,+.064,67,+8.10,21
65,VCU,A10,13-6,+11.97,97.2,276,85.2,2,67.4,177,+.046,97,+6.28,39
66,Notre Dame,ACC,14-6,+11.93,111.4,38,99.5,110,65.7,269,+.046,98,+6.09,43
67,North Texas,CUSA,15-4,+11.93,106.5,98,94.6,40,59.6,357,+.029,128,+2.22,115
68,Northwestern,B10,9-10,+11.90,109.8,58,97.9,79,67.2,180,-.173,356,+7.17,26
69,Creighton,BE,12-7,+11.73,106.7,93,95.0,43,66.9,207,+.052,85,+6.64,35
70,Iona,MAAC,18-3,+11.65,108.2,75,96.6,59,70.4,48,+.052,87,+0.57,149
71,Toledo,MAC,17-4,+11.57,111.1,42,99.5,111,69.5,77,+.049,92,-0.31,186
72,Texas A&M,SEC,15-6,+11.48,106.5,100,95.0,45,66.4,236,-.016,222,+1.72,127
73,Kansas St.,B12,10-10,+11.31,105.5,116,94.2,36,66.2,248,-.094,330,+7.91,22
74,Cincinnati,Amer,15-6,+10.92,103.7,149,92.8,25,67.5,164,-.015,217,+0.44,155
75,Santa Clara,WCC,13-8,+10.58,111.8,36,101.3,148,71.3,23,-.024,236,+3.49,83
76,Vermont,AE,15-4,+10.43,109.6,60,99.2,103,65.4,290,-.011,205,-2.19,241
77,Dayton,A10,14-7,+10.32,104.5,133,94.2,35,64.1,330,-.029,242,+0.35,161
78,South Dakota St.,Sum,19-4,+10.30,117.1,10,106.8,262,71.1,27,+.063,68,-1.62,223
79,Florida St.,ACC,13-7,+9.77,107.0,88,97.2,72,67.1,189,+.084,46,+6.64,34
80,Syracuse,ACC,10-11,+9.67,114.9,16,105.2,226,68.0,140,-.075,306,+7.17,27
81,Louisiana Tech,CUSA,16-5,+9.41,108.8,70,99.3,105,68.2,130,+.028,132,-1.37,218
82,Wichita St.,Amer,10-8,+9.39,103.7,147,94.4,38,67.5,162,-.051,276,+4.99,60
83,Penn St.,B10,8-9,+9.22,106.0,111,96.8,64,62.1,348,-.016,221,+9.89,8
84,St. John's,BE,11-8,+9.16,107.3,86,98.1,83,72.8,4,-.037,256,+3.03,98
85,Ohio,MAC,16-3,+9.06,106.3,103,97.3,73,67.1,190,+.113,25,-2.28,247
86,St. Bonaventure,A10,12-5,+8.81,110.5,48,101.7,158,65.1,302,+.136,12,+3.29,90
87,UCF,Amer,12-7,+8.75,107.9,77,99.2,102,67.6,158,+.022,141,+3.50,82
88,Towson,CAA,16-6,+8.72,110.0,54,101.3,150,64.3,328,-.026,239,-1.80,229
89,Stanford,P12,12-7,+8.67,105.5,117,96.8,63,67.8,151,+.170,6,+9.43,13
90,Maryland,B10,11-10,+8.57,106.6,94,98.0,81,67.0,196,-.009,202,+7.35,24
91,Minnesota,B10,11-7,+8.40,108.5,72,100.1,129,64.4,323,+.053,83,+6.90,30
92,Richmond,A10,13-8,+8.31,108.3,73,100.0,127,68.0,145,-.000,184,+3.87,78
93,Virginia,ACC,12-9,+8.16,107.3,85,99.2,104,58.5,358,-.007,199,+4.28,72
94,Vanderbilt,SEC,11-9,+8.13,104.2,143,96.1,56,66.0,260,-.040,262,+4.62,65
95,Drake,MVC,16-6,+8.08,108.3,74,100.2,133,66.2,243,+.033,118,+0.38,157
96,Bradley,MVC,12-10,+8.01,104.7,128,96.7,62,67.4,173,-.120,345,+1.41,135
97,Colorado,P12,13-8,+7.93,104.1,144,96.1,57,67.0,195,+.060,74,+5.14,58
98,New Mexico St.,WAC,17-3,+7.72,106.9,90,99.2,101,66.7,217,+.203,2,+1.66,130
99,South Carolina,SEC,13-7,+7.59,100.4,214,92.8,28,70.3,51,+.093,39,+5.60,49
100,Rhode Island,A10,12-7,+6.95,101.8,194,94.9,41,65.9,265,-.076,308,-1.01,208
101,Northern Iowa,MVC,11-9,+6.47,107.9,78,101.4,153,67.4,170,-.085,326,+2.37,112
102,Rutgers,B10,12-8,+6.44,101.6,200,95.2,47,65.5,284,+.025,135,+2.67,101
103,Wofford,SC,13-9,+6.35,109.8,57,103.5,188,64.9,306,-.074,304,-0.02,175
104,George Mason,A10,11-7,+6.35,106.2,106,99.8,117,64.9,309,-.057,283,+0.04,172
