Seed,east,midwest,south,west
1,Connecticut,Purdue,Houston,North Carolina
16,Stetson,Montana St,Longwood,Wagner
8,Florida Atlantic,Utah State,Nebraska,Mississippi State
9,Northwestern,TCU,Texas A&M,Michigan State
5,San Diego State,Gonzaga,Wisconsin,St. Mary's (CA)
12,UAB,McNeese State,James Madison,Grand Canyon
4,Auburn,Kansas,Duke,Alabama
13,Yale,Samford,Vermont,College of Charleston
6,BYU,South Carolina,Texas Tech,Clemson
11,Duquesne,Oregon,North Carolina State,New Mexico
3,Illinois,Creighton,Kentucky,Baylor
14,Morehead State,Akron,Oakland,Colgate
7,Washington State,Texas,Florida,Dayton
10,Drake,Colorado State,Colorado,Nevada
2,Iowa State,Tennessee,Marquette,Arizona
15,South Dakota State,St. Peter's,Western Kentucky,Long Beach State
