Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+29.20,117.3,1,88.1,17,76.2,15,1,+32.11,123.7,1,91.5
2,Baylor,B12,+28.70,116.0,2,87.3,8,70.2,282,2,+31.80,119.3,4,87.5
3,Villanova,BE,+24.84,114.3,4,89.4,27,67.2,350,5,+26.75,119.7,3,93.0
4,Texas,B12,+24.08,109.7,18,85.6,2,69.5,306,7,+24.71,113.8,12,89.1
5,Texas Tech,B12,+23.35,108.7,28,85.4,1,70.3,276,12,+23.03,112.1,27,89.0
6,Duke,ACC,+23.34,110.7,10,87.3,9,73.4,67,26,+19.21,112.4,24,93.2
7,West Virginia,B12,+23.09,110.3,13,87.2,7,72.5,128,15,+21.29,113.0,15,91.7
8,Wisconsin,B10,+23.03,109.9,15,86.9,5,67.4,348,11,+23.88,113.9,11,90.0
9,Kansas,B12,+22.36,109.2,21,86.8,4,73.3,71,13,+22.47,112.6,22,90.1
10,Houston,Amer,+21.87,110.8,9,88.9,21,69.3,316,9,+24.09,112.7,20,88.6
11,Iowa,B10,+21.75,115.5,3,93.8,74,74.5,39,3,+27.42,123.5,2,96.0
12,Ohio St.,B10,+21.58,109.6,19,88.0,16,69.5,307,18,+21.18,116.2,8,95.0
13,Michigan St.,B10,+21.19,110.6,11,89.4,26,73.6,60,42,+16.25,110.2,52,94.0
14,North Carolina,ACC,+20.97,108.7,26,87.8,15,72.9,91,35,+17.97,108.9,59,91.0
15,Creighton,BE,+20.93,112.5,6,91.5,50,72.1,156,10,+23.97,116.5,7,92.5
16,Virginia,ACC,+20.44,106.4,57,85.9,3,63.1,357,16,+21.23,111.8,33,90.6
17,Indiana,B10,+20.21,107.9,36,87.7,13,71.0,234,37,+17.82,109.6,56,91.8
18,Florida St.,ACC,+20.17,108.5,31,88.4,18,73.2,75,25,+19.79,113.1,14,93.3
19,Tennessee,SEC,+19.98,108.7,27,88.7,19,70.2,283,6,+24.72,111.9,29,87.2
20,Louisville,ACC,+19.81,109.3,20,89.5,28,69.7,300,27,+18.94,111.0,40,92.1
21,Kentucky,SEC,+19.80,107.5,42,87.7,12,72.1,155,52,+14.94,106.9,79,92.0
22,Oregon,P12,+19.71,110.9,8,91.2,45,70.3,275,20,+20.52,112.9,16,92.4
23,Michigan,B10,+19.62,110.6,12,91.0,43,72.5,132,4,+27.11,117.4,6,90.3
24,Florida,SEC,+19.45,109.0,23,89.6,30,71.8,176,38,+17.49,111.8,32,94.3
25,Illinois,B10,+19.20,109.9,16,90.7,41,71.9,168,8,+24.67,116.0,10,91.4
26,Oklahoma,B12,+19.04,108.8,25,89.8,32,74.4,41,29,+18.42,112.7,19,94.3
27,Virginia Tech,ACC,+18.69,108.4,33,89.7,31,68.8,334,31,+18.23,111.8,34,93.6
28,Clemson,ACC,+18.68,106.2,59,87.5,10,70.1,285,19,+20.86,107.7,72,86.8
29,Arizona St.,P12,+18.50,111.1,7,92.6,62,75.9,17,66,+12.50,108.2,69,95.7
30,Purdue,B10,+18.44,109.7,17,91.3,46,70.2,278,28,+18.66,111.3,38,92.6
31,Rutgers,B10,+18.26,106.0,60,87.7,14,72.5,133,39,+17.17,110.5,45,93.4
32,Maryland,B10,+18.17,110.1,14,91.9,52,70.4,266,43,+16.09,112.7,18,96.7
33,Marquette,BE,+18.02,107.3,44,89.3,25,73.3,68,53,+14.79,111.5,36,96.7
34,San Diego St.,MWC,+17.90,107.7,38,89.8,33,69.0,331,41,+16.55,108.4,66,91.8
