Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+27.91,114.1,1,86.2,10,74.3,41,1,+32.11,123.7,1,91.5
2,Duke,ACC,+26.32,111.6,4,85.3,6,74.3,38,26,+19.21,112.4,24,93.2
3,Baylor,B12,+26.24,112.1,3,85.8,8,70.2,307,2,+31.80,119.3,4,87.5
4,Villanova,BE,+25.20,111.4,5,86.2,9,70.2,303,5,+26.75,119.7,3,93.0
5,Kansas,B12,+24.32,108.8,12,84.5,2,71.9,180,13,+22.47,112.6,22,90.1
6,Texas Tech,B12,+23.65,108.6,15,85.0,5,70.6,280,12,+23.03,112.1,27,89.0
7,Wisconsin,B10,+23.55,108.2,19,84.7,3,68.2,351,11,+23.88,113.9,11,90.0
8,West Virginia,B12,+23.12,108.8,13,85.6,7,73.1,91,15,+21.29,113.0,15,91.7
9,Texas,B12,+22.18,106.9,34,84.7,4,70.0,312,7,+24.71,113.8,12,89.1
10,Ohio St.,B10,+21.80,108.2,20,86.4,11,70.5,288,18,+21.18,116.2,8,95.0
11,Michigan St.,B10,+21.76,110.2,8,88.5,27,72.1,163,42,+16.25,110.2,52,94.0
12,Kentucky,SEC,+21.25,108.7,14,87.5,17,71.8,194,52,+14.94,106.9,79,92.0
13,Iowa,B10,+21.23,113.2,2,92.0,72,73.5,64,3,+27.42,123.5,2,96.0
14,Creighton,BE,+21.17,111.3,6,90.1,45,72.6,126,10,+23.97,116.5,7,92.5
15,Michigan,B10,+20.95,109.6,11,88.7,30,72.3,141,4,+27.11,117.4,6,90.3
16,Virginia,ACC,+20.48,103.8,76,83.3,1,65.0,357,16,+21.23,111.8,33,90.6
17,Illinois,B10,+20.03,108.1,21,88.1,20,71.2,246,8,+24.67,116.0,10,91.4
18,Florida St.,ACC,+20.02,107.5,26,87.4,15,73.6,62,25,+19.79,113.1,14,93.3
19,Tennessee,SEC,+19.98,107.6,25,87.6,19,70.3,296,6,+24.72,111.9,29,87.2
20,Oregon,P12,+19.94,108.6,16,88.6,29,69.8,321,20,+20.52,112.9,16,92.4
21,Houston,Amer,+19.73,110.1,9,90.4,49,70.2,304,9,+24.09,112.7,20,88.6
22,North Carolina,ACC,+19.73,107.8,23,88.1,21,74.1,42,35,+17.97,108.9,59,91.0
23,Arizona St.,P12,+19.53,109.7,10,90.2,46,75.2,16,66,+12.50,108.2,69,95.7
24,Florida,SEC,+19.49,107.8,24,88.3,24,69.9,318,38,+17.49,111.8,32,94.3
25,Purdue,B10,+19.07,108.4,17,89.3,37,69.8,322,28,+18.66,111.3,38,92.6
26,Indiana,B10,+18.96,106.4,40,87.4,16,71.6,208,37,+17.82,109.6,56,91.8
27,Rutgers,B10,+18.72,105.4,51,86.6,13,71.1,250,39,+17.17,110.5,45,93.4
28,Louisville,ACC,+18.47,107.0,33,88.6,28,71.7,198,27,+18.94,111.0,40,92.1
29,UCLA,P12,+18.38,108.3,18,90.0,44,69.0,344,24,+19.90,116.0,9,96.1
30,Minnesota,B10,+18.27,107.2,29,88.9,33,71.4,230,34,+18.01,111.9,30,93.9
31,Syracuse,ACC,+18.25,107.4,27,89.2,35,71.2,248,40,+16.78,110.3,50,93.5
32,Virginia Tech,ACC,+18.17,106.5,38,88.4,25,69.9,317,31,+18.23,111.8,34,93.6
33,Oklahoma,B12,+18.00,107.1,31,89.1,34,73.5,66,29,+18.42,112.7,19,94.3
34,Oklahoma St.,B12,+17.78,106.5,39,88.7,31,71.9,177,33,+18.12,110.2,51,92.1
35,Stanford,P12,+17.78,104.3,70,86.5,12,72.3,142,45,+15.99,106.7,84,90.7
36,Marquette,BE,+17.74,107.1,32,89.3,38,73.7,55,53,+14.79,111.5,36,96.7
37,LSU,SEC,+17.40,110.4,7,93.0,81,73.2,82,22,+20.25,118.0,5,97.7
38,Arizona,P12,+16.99,105.2,53,88.2,23,72.3,147,30,+18.33,113.6,13,95.3
39,Memphis,Amer,+16.99,104.5,66,87.5,18,75.7,12,67,+12.10,102.6,151,90.5
40,Clemson,ACC,+16.70,106.0,46,89.3,39,70.0,311,19,+20.86,107.7,72,86.8
41,Miami FL,ACC,+16.67,107.1,30,90.5,52,71.3,235,79,+10.23,104.6,109,94.3
42,Mississippi,SEC,+16.48,104.6,64,88.1,22,71.5,221,55,+14.23,105.1,102,90.9
43,Connecticut,BE,+16.26,106.9,35,90.6,53,71.8,189,23,+19.92,110.9,42,91.0
44,San Diego St.,MWC,+15.84,105.2,52,89.4,41,69.9,314,41,+16.55,108.4,66,91.8
45,Saint Louis,A10,+15.72,104.1,71,88.4,26,70.6,281,32,+18.14,110.9,41,92.8
46,Alabama,SEC,+15.68,106.6,37,90.9,60,76.7,6,21,+20.25,112.6,21,92.3
