Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+37.67,125.9,2,88.2,5,74.6,7,1,+37.50,125.7,2,88.2
2,Baylor,B12,+34.96,123.0,3,88.1,4,68.7,163,2,+34.97,123.0,3,88.0
3,Michigan,B10,+29.42,118.5,7,89.1,7,67.7,217,3,+29.43,118.5,7,89.1
4,Iowa,B10,+28.81,127.6,1,98.8,108,69.9,103,4,+28.81,127.6,1,98.8
5,Illinois,B10,+27.08,117.9,8,90.8,16,70.0,97,5,+27.10,117.8,8,90.7
6,Houston,Amer,+27.06,116.2,14,89.1,8,65.9,298,6,+27.08,116.2,13,89.1
7,Ohio St.,B10,+27.03,122.6,4,95.6,61,67.1,246,7,+27.04,122.6,4,95.5
8,Alabama,SEC,+26.15,113.2,25,87.1,2,74.3,9,8,+26.17,113.2,25,87.0
9,Virginia,ACC,+26.14,116.3,12,90.2,11,59.8,357,10,+24.51,116.1,15,91.6
10,Loyola Chicago,MVC,+25.47,112.2,38,86.7,1,64.8,328,9,+25.50,112.2,38,86.7
11,Villanova,BE,+24.15,121.7,5,97.6,90,64.5,332,11,+24.14,121.7,5,97.6
12,USC,P12,+23.55,112.9,28,89.4,10,67.7,216,12,+23.44,112.8,29,89.4
13,Wisconsin,B10,+23.15,112.5,31,89.4,9,65.1,319,14,+23.17,112.5,31,89.3
14,Colorado,P12,+22.41,116.3,13,93.8,37,66.7,268,16,+22.31,116.2,14,93.9
15,Creighton,BE,+22.38,116.6,10,94.2,42,69.4,124,15,+22.38,116.5,11,94.2
16,Tennessee,SEC,+21.77,109.1,66,87.3,3,67.1,243,17,+21.76,109.0,66,87.3
17,West Virginia,B12,+21.57,117.0,9,95.5,59,69.2,133,18,+21.57,117.0,10,95.4
18,Texas Tech,B12,+21.44,112.5,33,91.0,18,66.2,284,19,+21.44,112.4,33,91.0
19,Texas,B12,+21.39,113.5,22,92.1,23,68.8,157,20,+21.40,113.4,22,92.0
20,Florida St.,ACC,+21.30,116.0,15,94.7,47,69.5,119,13,+23.30,117.5,9,94.2
21,Oklahoma,B12,+20.51,113.0,27,92.5,28,67.7,212,21,+20.51,113.0,27,92.5
22,Purdue,B10,+20.44,112.9,29,92.5,27,66.2,286,22,+20.45,112.9,28,92.4
23,San Diego St.,MWC,+20.40,111.9,41,91.5,20,66.0,292,23,+20.37,111.8,41,91.4
24,Kansas,B12,+20.31,111.7,43,91.4,19,68.7,164,24,+20.31,111.7,42,91.4
25,Arkansas,SEC,+20.17,112.5,32,92.3,26,72.4,26,25,+20.18,112.5,32,92.3
26,Rutgers,B10,+20.03,110.6,57,90.6,13,67.5,225,26,+20.04,110.6,57,90.5
27,LSU,SEC,+19.38,120.1,6,100.7,137,70.3,80,27,+19.35,120.0,6,100.7
28,Florida,SEC,+19.20,114.0,19,94.8,48,69.4,123,28,+19.30,114.0,19,94.7
29,Indiana,B10,+18.73,111.0,53,92.2,24,65.9,297,29,+18.83,110.9,53,92.1
30,BYU,WCC,+18.13,111.2,49,93.1,32,68.0,200,31,+18.07,111.2,49,93.1
31,Louisville,ACC,+17.98,110.8,54,92.8,29,65.9,299,30,+18.11,110.8,54,92.6
32,Virginia Tech,ACC,+17.93,111.6,45,93.7,36,66.2,287,33,+17.85,111.5,46,93.6
33,Seton Hall,BE,+17.93,114.0,20,96.1,69,67.4,231,32,+17.93,113.9,20,96.0
34,Duke,ACC,+17.84,115.0,17,97.1,85,69.1,139,34,+17.83,114.9,17,97.1
35,Maryland,B10,+17.80,111.1,52,93.3,34,65.6,309,35,+17.81,111.1,52,93.3
36,Oregon,P12,+17.76,112.4,35,94.6,44,68.1,193,36,+17.70,112.3,35,94.6
37,Penn St.,B10,+17.55,112.4,34,94.8,49,68.8,159,37,+17.56,112.4,34,94.8
38,Connecticut,BE,+17.34,112.1,39,94.7,46,64.9,324,38,+17.34,112.0,39,94.7
39,Saint Louis,A10,+17.29,111.5,47,94.2,41,68.9,150,39,+17.25,111.4,47,94.2
40,Minnesota,B10,+17.14,112.3,36,95.2,54,69.6,112,40,+17.14,112.3,36,95.1
41,Arizona,P12,+17.09,114.5,18,97.4,88,67.8,209,41,+17.01,114.4,18,97.4
42,Missouri,SEC,+16.56,111.9,40,95.4,57,69.0,145,42,+16.56,111.9,40,95.3
43,North Carolina,ACC,+16.53,109.4,65,92.9,31,70.4,72,43,+16.54,109.3,65,92.8
44,Oklahoma St.,B12,+16.22,107.8,84,91.6,21,71.4,49,44,+16.22,107.7,84,91.5
45,UCLA,P12,+16.15,113.2,26,97.0,82,64.2,338,46,+16.04,113.1,26,97.0
46,Clemson,ACC,+16.05,106.8,97,90.7,15,65.5,310,45,+16.11,106.7,97,90.6
47,VCU,A10,+15.98,106.7,101,90.7,14,70.0,96,47,+15.99,106.6,101,90.7
48,Utah St.,MWC,+15.95,106.2,110,90.2,12,69.4,122,48,+15.94,106.1,110,90.2
49,Memphis,Amer,+15.86,104.3,143,88.4,6,71.5,45,49,+15.88,104.2,143,88.4
50,St. Bonaventure,A10,+15.84,111.1,51,95.3,55,65.9,300,50,+15.84,111.1,51,95.2
51,Mississippi,SEC,+15.77,106.7,98,90.9,17,65.8,302,51,+15.79,106.7,98,90.9
52,Xavier,BE,+15.40,111.6,46,96.2,70,68.9,155,52,+15.41,111.6,45,96.2
53,Notre Dame,ACC,+15.37,116.4,11,101.0,141,67.0,253,56,+15.21,116.2,12,101.0
54,SMU,Amer,+15.34,111.2,50,95.8,65,68.8,160,53,+15.36,111.2,50,95.8
55,Richmond,A10,+15.31,113.4,23,98.1,99,69.1,142,54,+15.33,113.4,23,98.0
56,Wright St.,Horz,+15.28,110.0,59,94.7,45,70.7,67,55,+15.27,109.9,59,94.7
57,Syracuse,ACC,+15.18,112.3,37,97.1,86,69.7,111,59,+15.08,112.2,37,97.1
