Rank,Team,Conf,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank
1,Gonzaga,WCC,26-0,36.59,126,1,89.4,9,74.7,4,0.018,136,7.93,96
2,Illinois,B10,24-6,30.7,118.8,8,88.1,4,70.6,80,0.026,117,18.27,5
3,Michigan,B10,20-4,30.5,119.3,7,88.8,7,66.8,261,0.026,118,16.75,15
4,Baylor,B12,23-2,29.93,123,3,93,34,68.7,155,0.047,78,9.64,81
5,Houston,Amer,25-3,29.68,119.6,6,89.9,13,65,322,-0.011,206,6.82,106
6,Iowa,B10,21-8,28.72,123.5,2,94.7,52,69.9,99,-0.028,241,16.85,14
7,Alabama,SEC,24-6,24.87,111.7,35,86.9,2,73.8,9,0.031,108,14.25,32
8,Loyola Chicago,MVC,25-4,24.63,111.5,37,86.9,3,64,343,-0.017,220,5.16,121
9,Ohio St.,B10,21-10,24.19,120.8,4,96.6,73,67,250,-0.012,210,18.19,6
10,Wisconsin,B10,18-12,23.59,113.5,27,89.9,12,64.8,328,-0.049,283,18.12,7
11,USC,P12,22-7,22.81,113.2,28,90.4,15,67.2,238,-0.006,195,11.89,62
12,Villanova,BE,17-6,22.77,118.7,9,96,63,64.7,331,-0.001,182,13.08,43
13,Virginia,ACC,18-6,22.66,115.6,12,92.9,33,60,357,0.046,82,12.2,54
14,Colorado,P12,22-8,22.35,114.8,16,92.4,28,66.3,282,-0.033,253,11.61,64
15,Connecticut,BE,15-7,21.98,113.7,24,91.7,24,65.9,301,-0.066,307,12.83,45
16,Texas Tech,B12,18-10,21.93,112.6,33,90.6,20,65.3,317,-0.084,323,12.17,56
17,Arkansas,SEC,23-6,21.9,111.5,36,89.6,10,73.1,17,0.057,54,11.4,66
18,Florida St.,ACC,16-6,21.85,116.3,11,94.5,48,70.5,84,-0.011,207,12.48,51
19,Kansas,B12,20-8,21.44,109.9,56,88.5,6,68.1,187,0.042,88,15.3,17
20,Creighton,BE,20-8,21.39,115,14,93.6,39,69,142,0.001,170,12.77,46
21,West Virginia,B12,19-9,21.14,117.2,10,96.1,65,69.4,123,-0.042,273,15.12,20
22,Purdue,B10,18-10,21.09,113.6,25,92.5,29,66.3,277,0.01,149,17.07,12
23,Texas,B12,19-7,20.98,114.1,20,93.2,36,69.1,139,0.017,139,14.58,27
24,BYU,WCC,20-6,20.83,113,29,92.2,25,67.9,200,0.045,83,10.33,75
25,St. Bonaventure,A10,16-4,20.61,111.2,40,90.6,19,65.1,320,0.014,143,8.24,94
26,Tennessee,SEC,18-9,19.74,108,80,88.2,5,67.4,228,-0.013,213,12.59,49
27,LSU,SEC,18-9,19.55,119.8,5,100.3,130,70.7,78,0.002,166,13.63,39
28,Oklahoma St.,B12,21-8,19.37,109.9,57,90.6,18,72.1,32,0.04,90,15.13,19
29,San Diego St.,MWC,23-5,19.36,110.5,49,91.1,22,65.7,306,0.027,115,6.42,110
30,North Carolina,ACC,18-11,19.03,110.1,54,91,21,71.7,45,-0.005,193,14.86,23
31,Maryland,B10,16-13,18.46,110.8,46,92.3,27,65.3,318,-0.035,254,16.97,13
32,Oregon,P12,20-6,18.35,114.9,15,96.5,71,67.2,242,0.048,72,10.88,70
33,Duke,ACC,13-11,18.08,114.7,17,96.6,72,68.8,151,-0.109,347,12.52,50
34,Rutgers,B10,16-11,18.08,108.4,74,90.4,14,67.7,211,0.044,84,18.11,8
35,Georgia Tech,ACC,17-9,17.91,113.5,26,95.6,61,67.5,224,-0.005,192,12.85,44
36,Penn St.,B10,14-Nov,17.9,112.6,32,94.7,50,69.4,125,-0.05,288,19.96,1
37,Florida,SEC,15-9,17.59,111,43,93.4,38,68.4,174,0.016,140,14.73,25
38,Syracuse,ACC,17-9,17.47,115,13,97.6,91,68.9,147,0.018,134,12.18,55
39,Oklahoma,B12,15-10,17.17,111.8,34,94.6,49,67.6,221,-0.038,262,13.16,42
40,Memphis,Amer,16-8,16.99,103.5,148,86.5,1,72,40,-0.09,330,7.39,99
41,Arizona,P12,17-9,16.64,113.8,22,97.2,83,68,198,-0.017,219,9.96,77
42,UCLA,P12,18-9,16.64,114.4,18,97.8,95,64.6,334,0.033,103,12.65,48
43,Clemson,ACC,16-8,15.91,106.4,107,90.5,17,64.2,338,0.1,18,14.52,28
44,VCU,A10,19-7,15.71,105.4,118,89.7,11,69.8,109,0.035,101,8.94,87
45,Indiana,B10,15-Dec,15.61,109.3,66,93.7,43,66.1,292,-0.053,291,18.72,4
46,Saint Louis,A10,14-6,15.56,111,42,95.5,57,67.7,213,-0.017,222,5.39,118
47,Utah St.,MWC,20-9,15.3,104.7,124,89.4,8,68.8,150,-0.037,261,5.34,119
48,Missouri,SEC,16-9,15.08,110.4,51,95.3,55,68.6,162,0.088,25,15.19,18
49,Kentucky,SEC,16-Sep,14.97,108.1,78,93.1,35,68.3,180,-0.148,354,16.65,16
50,Drake,MVC,26-4,14.93,112.9,30,98,98,66.5,270,0.105,15,3.1,150
51,Virginia Tech,ACC,15-7,14.91,109.8,58,94.9,53,66,299,0.043,85,9.89,79
52,Seton Hall,BE,14-13,14.87,110.4,50,95.6,60,66.7,263,-0.027,240,14.66,26
53,Mississippi,SEC,16-12,14.56,106,111,91.4,23,65.2,319,-0.063,300,10.37,74
54,Georgetown,BE,13-12,14.18,107.8,87,93.6,40,69.6,112,0.001,169,14.75,24
55,Louisville,ACC,13-7,14.02,107.8,85,93.8,44,65.9,302,0.118,9,13.5,40
56,SMU,Amer,6-Nov,13.96,110.7,48,96.7,75,68.9,144,-0.012,208,8.24,93
57,Minnesota,B10,14-15,13.71,108.7,70,94.9,54,70.2,90,0.011,148,17.52,10
58,Michigan St.,B10,15-13,13.48,107.3,92,93.9,45,68.5,169,0.09,22,18.02,9
59,North Texas,CUSA,18-9,13.47,106.8,100,93.3,37,62.9,350,-0.033,251,5.96,111
60,Richmond,A10,14-8,13.47,110.8,45,97.3,86,68.7,158,-0.039,266,9.25,85
61,Xavier,BE,13-8,13.29,110.7,47,97.5,88,68.1,188,0.003,165,10.57,73
62,Boise St.,MWC,19-8,12.98,109.7,60,96.8,76,69.4,126,-0.008,199,5.02,122
63,Auburn,SEC,13-14,12.91,111.4,38,98.5,105,71.2,55,-0.044,276,14.02,34
64,N.C. State,ACC,14-10,12.86,110.2,53,97.4,87,68,195,0.007,157,11.08,68
65,Davidson,A10,13-9,12.78,114.1,21,101.3,156,62.7,354,-0.074,314,7.29,101
66,St. John's,BE,16-11,12.76,111.3,39,98.6,107,73.6,10,0.014,145,11.31,67
67,Colorado St.,MWC,19-6,12.36,107.9,81,95.5,59,69.2,133,0.05,66,3.32,144
68,Utah,P12,13-Dec,12.35,110.9,44,98.5,106,67.9,202,-0.077,317,11.93,60
69,Wright St.,Horz,18-6,12.26,108.4,75,96.2,66,71.3,51,-0.078,319,-3.1,238
70,Toledo,MAC,21-9,12.26,114.3,19,102.1,177,68.9,145,-0.024,234,3.3,145
71,UC Santa Barbara,BW,22-4,12.2,109.3,65,97.1,81,66,294,0.054,60,-0.41,187
72,Wichita St.,Amer,16-6,12.14,109.2,67,97.1,80,67.3,232,0.089,23,10,76
73,Oregon St.,P12,18-12,11.91,110,55,98.1,99,65.4,313,0.074,38,12.29,53
74,Buffalo,MAC,16-9,11.87,107.3,91,95.5,58,73.3,15,-0.098,340,3.59,141
75,Northwestern,B10,15-Sep,11.87,104.7,123,92.8,31,68.6,164,-0.091,332,19.83,2
76,Louisiana Tech,CUSA,22-7,11.75,104,134,92.2,26,69.6,114,0.025,121,2.07,159
77,Providence,BE,13-13,11.25,107.5,89,96.2,68,66.5,271,0.001,168,13.81,35
78,Saint Mary's,WCC,14-10,11.1,101.6,182,90.5,16,63.1,348,0.037,96,9.92,78
