Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+34.12,124.3,2,90.2,11,75.0,8,1,+34.15,124.2,2,90.1
2,Baylor,B12,+33.74,120.6,3,86.8,1,68.9,172,2,+33.79,120.6,3,86.8
3,Michigan,B10,+28.09,116.8,7,88.7,5,68.4,207,3,+28.10,116.7,7,88.6
4,Iowa,B10,+27.04,124.4,1,97.4,98,71.1,71,4,+27.06,124.4,1,97.3
5,Villanova,BE,+26.25,119.2,4,93.0,34,64.9,333,5,+26.13,119.1,4,93.0
6,Houston,Amer,+26.13,113.5,19,87.3,2,66.3,299,6,+26.13,113.3,19,87.2
7,Virginia,ACC,+25.76,115.7,9,89.9,9,60.4,357,7,+25.74,115.7,9,89.9
8,Illinois,B10,+24.72,116.5,8,91.7,23,71.1,70,9,+24.71,116.4,8,91.7
9,Texas,B12,+24.67,114.1,16,89.4,8,69.3,154,10,+24.27,114.1,17,89.8
10,Alabama,SEC,+24.29,114.6,13,90.3,14,74.6,10,8,+24.79,114.4,14,89.6
11,Wisconsin,B10,+23.60,112.8,25,89.2,7,64.9,334,11,+23.52,112.7,26,89.2
12,Ohio St.,B10,+22.90,118.3,5,95.4,62,66.7,285,12,+22.89,118.3,5,95.4
13,Texas Tech,B12,+22.84,113.0,21,90.2,13,67.2,267,13,+22.86,113.0,24,90.1
14,Creighton,BE,+22.38,115.4,11,93.0,36,70.2,116,14,+22.38,115.4,11,93.0
15,Florida St.,ACC,+22.27,115.1,12,92.9,33,69.7,139,15,+22.31,115.1,13,92.8
16,Kansas,B12,+22.06,113.2,20,91.1,18,68.2,213,16,+22.09,113.2,21,91.1
17,West Virginia,B12,+21.97,114.2,15,92.2,30,69.0,166,17,+22.04,114.2,16,92.2
18,Colorado,P12,+21.84,114.4,14,92.5,31,67.4,252,18,+21.82,114.4,15,92.5
19,Tennessee,SEC,+21.83,109.8,58,88.0,3,66.1,306,19,+21.23,108.4,68,87.1
20,USC,P12,+20.32,111.8,32,91.5,19,68.4,204,21,+20.34,111.8,33,91.5
21,Loyola Chicago,MVC,+20.00,110.1,54,90.1,10,66.0,310,22,+20.13,110.2,51,90.0
22,Oklahoma,B12,+19.75,112.7,26,93.0,35,68.9,174,20,+20.40,113.3,20,92.9
23,Florida,SEC,+19.60,113.0,23,93.4,44,70.5,98,23,+19.64,113.1,22,93.5
24,Indiana,B10,+19.16,111.0,39,91.9,26,66.6,286,24,+19.09,111.0,39,91.9
25,Arizona,P12,+18.84,113.8,18,95.0,55,69.8,135,26,+18.84,113.8,18,95.0
26,UCLA,P12,+18.76,115.5,10,96.7,84,64.3,342,27,+18.75,115.4,10,96.7
27,Connecticut,BE,+18.55,110.7,42,92.2,28,64.4,340,25,+18.96,110.6,42,91.7
28,Minnesota,B10,+18.46,110.7,43,92.2,29,71.0,72,28,+18.39,110.6,43,92.2
29,Oregon,P12,+18.33,111.5,36,93.2,40,69.8,133,30,+18.31,111.4,35,93.1
30,Purdue,B10,+18.32,110.2,52,91.8,25,66.9,276,29,+18.34,110.1,52,91.8
