Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+32.94,123.8,2,90.9,13,75.2,8,1,+32.95,123.9,2,91.0
2,Baylor,B12,+32.79,119.8,4,87.1,1,69.4,156,2,+32.78,119.9,4,87.2
3,Iowa,B10,+27.08,124.4,1,97.3,90,71.1,81,4,+27.07,124.5,1,97.5
4,Michigan,B10,+26.69,116.6,7,90.0,8,68.3,213,3,+28.19,116.8,7,88.6
5,Villanova,BE,+26.13,119.9,3,93.8,45,64.1,349,5,+26.14,120.1,3,93.9
6,Houston,Amer,+25.69,114.0,16,88.3,3,66.5,294,6,+25.67,114.1,17,88.4
7,Virginia,ACC,+25.02,115.2,10,90.2,9,59.3,357,7,+24.96,115.3,10,90.3
8,Texas,B12,+24.75,114.2,15,89.4,7,69.6,145,9,+24.76,114.3,15,89.6
9,Wisconsin,B10,+24.74,113.6,19,88.8,5,64.5,340,8,+24.94,113.8,19,88.9
10,Illinois,B10,+24.52,116.4,8,91.9,24,71.2,76,10,+24.49,116.5,8,92.0
11,Alabama,SEC,+24.20,114.6,13,90.4,10,74.5,11,11,+24.17,114.7,13,90.5
12,Tennessee,SEC,+22.83,110.1,54,87.3,2,66.1,305,12,+22.87,110.3,53,87.4
13,Texas Tech,B12,+22.77,111.4,34,88.6,4,66.9,275,13,+22.77,111.5,37,88.7
14,Kansas,B12,+22.40,113.4,20,91.0,14,68.2,221,14,+22.39,113.5,20,91.1
15,Creighton,BE,+22.13,115.1,11,92.9,35,70.3,113,15,+22.14,115.2,11,93.1
16,Colorado,P12,+21.65,114.3,14,92.6,32,67.7,240,16,+21.62,114.4,14,92.8
17,Ohio St.,B10,+21.47,117.6,5,96.2,72,66.3,298,18,+21.39,117.8,5,96.4
18,West Virginia,B12,+21.47,113.3,21,91.8,23,68.5,203,17,+21.47,113.4,21,91.9
19,Florida St.,ACC,+21.36,114.8,12,93.5,41,69.5,150,19,+21.35,114.9,12,93.6
20,Oregon,P12,+20.67,113.0,22,92.3,30,69.6,144,20,+20.65,113.1,23,92.4
21,USC,P12,+19.98,111.0,40,91.0,15,68.7,197,21,+20.02,111.3,39,91.2
22,Indiana,B10,+19.77,110.8,44,91.0,16,66.8,286,23,+19.71,110.9,43,91.2
23,Minnesota,B10,+19.62,112.3,29,92.7,34,71.4,68,22,+19.88,112.6,29,92.7
24,Florida,SEC,+19.51,111.8,33,92.3,29,71.0,84,25,+19.49,111.9,33,92.4
25,Loyola Chicago,MVC,+19.48,110.6,51,91.1,17,65.4,316,24,+19.49,110.7,47,91.3
26,Purdue,B10,+19.15,111.2,38,92.0,28,66.9,276,31,+18.11,110.2,54,92.1
27,Oklahoma,B12,+19.13,112.5,27,93.4,40,68.9,183,26,+19.11,112.7,28,93.6
28,UCLA,P12,+18.81,115.4,9,96.5,81,64.9,332,27,+18.86,115.5,9,96.6
29,Connecticut,BE,+18.65,110.6,49,92.0,27,64.6,338,28,+18.68,110.7,48,92.1
30,Duke,ACC,+18.42,112.3,30,93.9,46,69.1,171,29,+18.43,112.4,30,94.0
31,Arizona,P12,+18.28,114.0,17,95.7,65,69.8,131,30,+18.35,114.1,16,95.8
32,LSU,SEC,+18.16,117.6,6,99.4,127,70.8,95,32,+18.07,117.6,6,99.5
33,Saint Louis,A10,+18.02,111.0,39,93.0,36,68.5,204,33,+18.02,111.1,40,93.1
34,Oklahoma St.,B12,+17.87,110.2,53,92.3,31,71.3,73,34,+17.87,110.3,52,92.5
35,Virginia Tech,ACC,+17.71,111.0,41,93.3,38,66.9,280,35,+17.71,111.1,41,93.4
36,North Carolina,ACC,+17.25,109.0,61,91.7,22,71.2,75,37,+17.24,109.1,61,91.8
37,Missouri,SEC,+17.11,109.0,60,91.9,25,69.2,168,39,+17.08,109.1,60,92.0
38,Louisville,ACC,+17.08,111.3,37,94.2,49,66.3,300,38,+17.09,111.4,38,94.3
39,Seton Hall,BE,+16.62,112.6,26,96.0,71,68.0,229,40,+16.64,112.7,24,96.1
40,San Diego St.,MWC,+16.52,107.9,73,91.3,20,64.9,334,36,+17.42,108.9,62,91.5
41,Michigan St.,B10,+16.38,110.7,48,94.3,50,70.5,104,41,+16.38,110.7,49,94.4
42,Syracuse,ACC,+16.30,111.8,32,95.5,62,69.6,148,42,+16.33,112.0,32,95.6
43,Arkansas,SEC,+16.24,109.8,56,93.5,42,73.8,19,43,+16.14,109.9,56,93.8
44,Penn St.,B10,+16.09,112.0,31,96.0,70,69.2,161,44,+16.10,112.2,31,96.2
45,Clemson,ACC,+16.01,107.3,77,91.3,19,66.2,303,45,+15.95,107.4,78,91.5
46,Rutgers,B10,+15.98,109.1,59,93.1,37,69.2,162,46,+15.95,109.2,59,93.2
47,Stanford,P12,+15.82,106.5,87,90.7,12,71.5,63,47,+15.76,106.6,84,90.9
48,BYU,WCC,+15.56,110.0,55,94.5,51,68.9,182,48,+15.63,110.1,55,94.5
49,Utah St.,MWC,+15.45,105.9,94,90.5,11,70.2,119,49,+15.45,105.9,97,90.4
50,Xavier,BE,+15.27,110.8,42,95.6,63,68.9,178,50,+15.34,111.0,42,95.6
51,Richmond,A10,+15.27,112.6,25,97.4,91,70.0,127,51,+15.26,112.7,26,97.5
52,Boise St.,MWC,+14.86,110.6,50,95.7,66,69.8,134,53,+14.83,110.7,50,95.9
53,Maryland,B10,+14.85,112.4,28,97.6,98,66.7,288,52,+15.00,112.7,27,97.7
54,Mississippi,SEC,+14.81,105.9,93,91.1,18,67.0,274,54,+14.80,106.1,93,91.3
55,St. Bonaventure,A10,+14.76,108.7,62,94.0,47,66.8,287,55,+14.75,108.8,63,94.1
56,SMU,Amer,+14.51,110.7,46,96.2,73,70.4,108,57,+14.50,110.8,44,96.3
57,Marquette,BE,+14.41,111.3,36,96.9,82,67.5,255,56,+14.51,111.6,35,97.0
58,Providence,BE,+14.14,111.4,35,97.3,89,66.5,292,58,+14.13,111.5,36,97.4
59,Kentucky,SEC,+14.11,105.6,98,91.5,21,66.9,281,59,+14.09,105.7,98,91.6
60,Drake,MVC,+13.54,110.7,47,97.2,87,67.1,271,61,+13.43,110.8,46,97.4
61,Georgia Tech,ACC,+13.53,110.7,45,97.2,88,66.3,297,60,+13.44,110.8,45,97.4
62,Pittsburgh,ACC,+13.43,106.1,92,92.6,33,71.1,82,62,+13.37,106.2,91,92.8
63,N.C. State,ACC,+13.04,109.6,57,96.5,80,69.4,154,63,+13.05,109.7,57,96.7
64,Memphis,Amer,+12.99,102.4,151,89.4,6,71.7,51,64,+12.95,102.5,153,89.5
65,Davidson,A10,+12.89,113.0,23,100.1,138,64.2,347,65,+12.91,113.2,22,100.3
66,Rhode Island,A10,+12.89,106.6,84,93.7,43,70.5,105,66,+12.89,106.7,83,93.8
67,Auburn,SEC,+12.31,108.5,66,96.2,74,71.1,79,67,+12.32,108.6,68,96.3
68,South Carolina,SEC,+12.29,106.9,81,94.7,52,73.3,22,68,+12.25,107.0,81,94.8
69,VCU,A10,+12.15,104.1,125,91.9,26,71.6,56,70,+12.13,104.1,123,92.0
70,Toledo,MAC,+11.96,113.8,18,101.8,167,67.9,230,69,+12.13,114.0,18,101.9
71,Utah,P12,+11.94,107.8,75,95.8,67,67.2,268,71,+11.93,107.9,75,95.9
72,Northwestern,B10,+11.55,108.0,71,96.4,76,69.6,143,72,+11.62,108.1,72,96.5
73,San Francisco,WCC,+11.40,106.8,82,95.4,57,68.8,185,74,+11.32,106.9,82,95.6
74,Arizona St.,P12,+11.37,109.4,58,98.0,103,73.9,18,73,+11.46,109.5,58,98.0
75,Dayton,A10,+11.26,108.6,63,97.4,92,65.2,326,75,+11.28,108.7,66,97.4
76,Colorado St.,MWC,+10.62,107.8,74,97.2,86,71.0,86,77,+10.72,107.9,74,97.2
77,Wichita St.,Amer,+10.56,108.1,70,97.6,96,68.5,201,78,+10.54,108.2,71,97.7
78,Mississippi St.,SEC,+10.13,108.6,65,98.4,113,65.5,315,79,+10.12,108.7,65,98.6
79,Cincinnati,Amer,+9.90,105.3,101,95.4,58,71.5,62,81,+9.84,105.4,104,95.6
80,Saint Mary's,WCC,+9.74,103.7,131,94.0,48,63.6,352,80,+9.88,103.8,130,93.9
81,St. John's,BE,+9.61,108.3,68,98.7,117,74.2,13,82,+9.72,108.4,69,98.7
