Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+32.11,123.7,1,91.5,21,75.6,9,1,+32.93,123.9,2,91.0
2,Baylor,B12,+31.80,119.3,4,87.5,3,69.4,162,2,+32.49,119.0,4,86.5
3,Iowa,B10,+27.42,123.5,2,96.0,69,71.3,71,3,+28.96,125.1,1,96.2
4,Michigan,B10,+27.11,117.4,6,90.3,10,68.1,234,5,+25.69,116.2,9,90.5
5,Villanova,BE,+26.75,119.7,3,93.0,36,63.6,352,4,+26.73,119.9,3,93.1
6,Tennessee,SEC,+24.72,111.9,29,87.2,2,65.8,316,6,+25.13,112.4,30,87.2
7,Texas,B12,+24.71,113.8,12,89.1,6,69.4,163,8,+24.70,114.3,12,89.6
8,Illinois,B10,+24.67,116.0,10,91.4,19,70.9,87,11,+24.04,116.7,7,92.7
9,Houston,Amer,+24.09,112.7,20,88.6,4,65.8,315,10,+24.07,112.9,21,88.9
10,Creighton,BE,+23.97,116.5,7,92.5,31,70.7,99,12,+22.88,115.8,10,92.9
11,Wisconsin,B10,+23.88,113.9,11,90.0,8,64.9,336,9,+24.11,113.5,16,89.3
12,Texas Tech,B12,+23.03,112.1,27,89.0,5,67.0,280,14,+22.73,111.4,37,88.6
13,Kansas,B12,+22.47,112.6,22,90.1,9,68.6,211,15,+22.43,112.8,23,90.4
14,Colorado,P12,+22.02,112.9,17,90.8,15,68.2,229,13,+22.81,113.4,17,90.6
15,West Virginia,B12,+21.29,113.0,15,91.7,22,68.8,201,18,+21.45,113.3,18,91.8
16,Virginia,ACC,+21.23,111.8,33,90.6,13,59.3,357,7,+24.98,115.2,11,90.3
17,USC,P12,+21.20,111.6,35,90.4,11,68.3,223,19,+20.98,112.3,31,91.4
18,Ohio St.,B10,+21.18,116.2,8,95.0,56,66.3,301,16,+22.09,117.8,6,95.7
19,Clemson,ACC,+20.86,107.7,72,86.8,1,66.4,297,36,+17.67,107.2,79,89.5
20,Oregon,P12,+20.52,112.9,16,92.4,30,69.8,142,20,+20.52,113.1,19,92.6
21,Alabama,SEC,+20.25,112.6,21,92.3,29,74.5,15,17,+21.84,113.1,20,91.2
22,LSU,SEC,+20.25,118.0,5,97.7,101,70.2,119,22,+19.91,118.0,5,98.1
23,Connecticut,BE,+19.92,110.9,42,91.0,18,64.9,335,21,+20.00,111.2,40,91.2
24,UCLA,P12,+19.90,116.0,9,96.1,72,64.8,337,26,+19.21,116.4,8,97.2
25,Florida St.,ACC,+19.79,113.1,14,93.3,40,70.0,132,23,+19.85,114.0,13,94.1
26,Duke,ACC,+19.21,112.4,24,93.2,38,69.1,180,25,+19.31,112.6,27,93.3
27,Louisville,ACC,+18.94,111.0,40,92.1,26,66.3,299,30,+18.22,111.5,35,93.2
28,Purdue,B10,+18.66,111.3,38,92.6,32,66.7,288,27,+18.69,111.4,36,92.7
29,Oklahoma,B12,+18.42,112.7,19,94.3,48,68.7,206,28,+18.42,112.9,22,94.5
30,Arizona,P12,+18.33,113.6,13,95.3,61,70.0,133,29,+18.40,113.6,14,95.2
31,Virginia Tech,ACC,+18.23,111.8,34,93.6,43,67.5,261,32,+18.05,111.7,34,93.7
32,Saint Louis,A10,+18.14,110.9,41,92.8,35,68.6,209,31,+18.19,111.2,41,93.0
33,Oklahoma St.,B12,+18.12,110.2,51,92.1,27,71.6,59,33,+18.01,110.3,51,92.3
34,Minnesota,B10,+18.01,111.9,30,93.9,45,71.7,55,24,+19.74,112.3,32,92.5
35,North Carolina,ACC,+17.97,108.9,59,91.0,17,70.9,83,35,+17.68,109.3,58,91.7
36,Arkansas,SEC,+17.89,111.2,39,93.3,39,74.0,20,40,+16.50,110.2,52,93.7
37,Indiana,B10,+17.82,109.6,56,91.8,23,67.1,279,34,+17.79,109.8,55,92.0
38,Florida,SEC,+17.49,111.8,32,94.3,50,70.0,135,37,+17.09,111.3,39,94.2
39,Rutgers,B10,+17.17,110.5,45,93.4,41,69.3,168,39,+16.74,109.5,56,92.8
40,Syracuse,ACC,+16.78,110.3,50,93.5,42,70.3,115,51,+14.97,110.9,42,96.0
41,San Diego St.,MWC,+16.55,108.4,66,91.8,24,64.9,334,42,+16.43,108.1,71,91.7
42,Michigan St.,B10,+16.25,110.2,52,94.0,46,70.6,100,41,+16.50,110.7,47,94.2
43,Maryland,B10,+16.09,112.7,18,96.7,81,66.7,291,46,+15.73,112.8,24,97.1
44,Seton Hall,BE,+16.03,111.8,31,95.8,67,67.8,245,44,+15.98,112.0,33,96.0
45,Stanford,P12,+15.99,106.7,84,90.7,14,71.6,57,47,+15.59,106.6,85,91.0
46,Missouri,SEC,+15.97,108.2,70,92.2,28,69.7,145,38,+16.96,108.5,64,91.6
47,Penn St.,B10,+15.87,112.5,23,96.6,78,68.3,224,45,+15.74,112.5,28,96.8
48,Loyola Chicago,MVC,+15.32,108.5,64,93.2,37,66.2,305,43,+16.05,109.4,57,93.4
49,Utah St.,MWC,+15.27,105.2,100,90.0,7,69.3,172,48,+15.57,105.0,107,89.5
50,Xavier,BE,+15.03,110.7,43,95.6,65,69.3,170,50,+15.05,110.8,45,95.7
51,Richmond,A10,+15.01,112.2,25,97.2,92,69.9,139,49,+15.11,112.5,29,97.4
52,Kentucky,SEC,+14.94,106.9,79,92.0,25,67.9,240,55,+14.31,106.3,91,91.9
53,Marquette,BE,+14.79,111.5,36,96.7,82,67.7,250,53,+14.44,111.4,38,96.9
54,SMU,Amer,+14.30,110.4,49,96.1,70,70.9,86,54,+14.39,110.6,49,96.2
55,Mississippi,SEC,+14.23,105.1,102,90.9,16,68.2,232,61,+13.03,105.8,97,92.8
56,BYU,WCC,+13.84,108.6,61,94.8,53,69.9,140,52,+14.66,109.3,59,94.6
57,Boise St.,MWC,+13.83,110.5,48,96.6,79,69.3,167,57,+13.60,110.4,50,96.8
58,Drake,MVC,+13.61,110.5,46,96.9,85,67.3,270,56,+13.62,110.7,46,97.1
59,N.C. State,ACC,+13.29,109.9,55,96.7,80,69.6,153,59,+13.19,109.8,54,96.6
60,VCU,A10,+13.05,104.6,110,91.5,20,71.8,49,60,+13.10,104.8,108,91.7
61,Northwestern,B10,+13.03,108.6,63,95.6,64,70.3,111,67,+12.20,108.5,65,96.3
62,South Carolina,SEC,+12.84,106.8,81,94.0,47,73.3,24,62,+12.91,107.0,81,94.1
63,Utah,P12,+12.80,108.3,67,95.5,62,67.1,278,75,+11.05,107.4,77,96.3
64,St. Bonaventure,A10,+12.73,108.6,62,95.9,68,67.8,243,58,+13.50,108.5,66,95.0
65,Providence,BE,+12.70,110.5,47,97.8,103,66.3,302,63,+12.90,110.8,44,97.9
66,Arizona St.,P12,+12.50,108.2,69,95.7,66,75.0,11,72,+11.66,109.1,61,97.4
67,Memphis,Amer,+12.10,102.6,151,90.5,12,72.7,33,68,+12.15,102.9,144,90.8
68,Toledo,MAC,+11.97,112.1,26,100.1,137,68.3,227,73,+11.65,113.6,15,101.9
69,Rhode Island,A10,+11.82,105.5,96,93.7,44,70.6,104,64,+12.89,106.5,87,93.7
70,Wichita St.,Amer,+11.73,109.1,57,97.4,94,68.9,190,71,+11.68,109.1,60,97.4
71,Georgia Tech,ACC,+11.61,108.4,65,96.8,83,66.5,292,74,+11.51,108.5,68,97.0
72,Mississippi St.,SEC,+11.42,110.1,53,98.7,113,65.0,331,69,+11.85,110.1,53,98.2
73,Auburn,SEC,+11.38,108.6,60,97.3,93,71.1,76,70,+11.85,108.5,67,96.6
74,Davidson,A10,+11.33,111.3,37,99.9,135,64.1,347,65,+12.88,112.6,26,99.8
75,Dayton,A10,+11.32,109.0,58,97.7,99,65.6,320,76,+11.04,109.0,62,97.9
76,Pittsburgh,ACC,+10.98,103.7,124,92.8,34,70.0,129,66,+12.63,105.8,99,93.1
77,Marshall,CUSA,+10.30,107.4,75,97.1,88,73.2,25,83,+9.83,107.2,80,97.4
