Rank,Team,Conf,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Final_Rank,Final_AdjEM,FinalAdjO,Final_AdjO_Rank,AR
1,Gonzaga,WCC,+38.42,127.2,2,88.7,4,74.6,7,1,+38.35,127.1,2,88.8
2,Baylor,B12,+34.93,123.8,4,88.8,6,68.5,161,2,+34.84,123.7,4,88.9
3,Michigan,B10,+30.61,121.1,7,90.5,11,67.4,218,3,+30.56,121.1,7,90.5
4,Iowa,B10,+29.86,127.2,1,97.3,74,69.6,99,4,+29.79,127.1,1,97.4
5,Illinois,B10,+28.83,119.1,8,90.2,9,69.9,89,5,+28.79,119.0,8,90.2
6,Houston,Amer,+27.53,116.6,14,89.1,7,65.4,307,6,+27.47,116.6,14,89.1
7,Ohio St.,B10,+27.34,125.3,3,97.9,86,66.9,240,7,+27.28,125.3,3,98.0
8,Alabama,SEC,+25.50,113.7,24,88.2,2,74.0,9,8,+25.43,113.6,24,88.2
9,Loyola Chicago,MVC,+24.78,111.6,52,86.8,1,64.2,333,10,+24.60,111.5,52,86.9
10,Virginia,ACC,+24.76,116.8,12,92.1,22,59.7,357,9,+24.65,116.7,13,92.1
11,Villanova,BE,+24.06,121.8,5,97.7,82,64.3,331,11,+24.01,121.7,5,97.7
12,Florida St.,ACC,+23.74,118.2,10,94.5,42,69.3,117,12,+23.70,118.2,10,94.5
13,Wisconsin,B10,+23.25,112.6,41,89.4,8,64.5,327,14,+23.19,112.6,39,89.4
14,USC,P12,+23.01,114.3,20,91.3,15,67.3,221,13,+23.57,114.6,20,91.0
15,Creighton,BE,+22.19,117.1,11,94.9,49,69.0,130,15,+22.14,117.1,12,94.9
16,West Virginia,B12,+21.75,118.5,9,96.8,67,69.1,124,16,+21.65,118.4,9,96.8
17,Purdue,B10,+21.40,113.6,27,92.2,26,66.1,278,17,+21.35,113.5,27,92.2
18,Colorado,P12,+21.39,114.8,17,93.5,31,66.5,260,18,+21.27,114.7,18,93.5
19,San Diego St.,MWC,+21.35,112.7,39,91.3,16,65.6,297,20,+21.10,112.5,41,91.4
20,BYU,WCC,+21.20,113.4,30,92.2,27,67.8,200,19,+21.18,113.3,29,92.2
21,Texas,B12,+21.10,114.6,19,93.5,32,68.7,151,21,+21.03,114.7,19,93.6
22,Texas Tech,B12,+21.04,113.1,31,92.1,24,65.7,292,25,+20.51,112.5,40,92.0
23,Kansas,B12,+20.77,111.3,54,90.6,12,68.3,170,22,+20.68,111.3,54,90.6
24,Arkansas,SEC,+20.74,112.7,38,92.0,20,72.0,29,23,+20.64,112.6,37,92.0
25,Tennessee,SEC,+20.63,109.4,72,88.8,5,66.9,247,24,+20.55,109.4,72,88.8
26,Oklahoma,B12,+20.31,113.4,29,93.1,29,67.0,235,26,+20.20,113.3,30,93.1
27,LSU,SEC,+20.17,121.5,6,101.3,140,70.3,73,27,+20.07,121.4,6,101.3
28,Rutgers,B10,+19.59,110.4,60,90.8,14,67.3,225,28,+19.49,110.3,60,90.8
29,North Carolina,ACC,+19.47,111.3,55,91.8,17,70.7,61,29,+19.39,111.2,55,91.8
30,Maryland,B10,+19.04,112.0,45,92.9,28,65.3,309,31,+18.98,111.9,46,92.9
31,Duke,ACC,+18.93,116.5,15,97.6,80,68.6,158,30,+19.30,117.1,11,97.8
32,Florida,SEC,+18.53,112.8,37,94.2,35,69.0,131,32,+18.48,112.7,36,94.2
33,Indiana,B10,+18.46,112.5,42,94.1,34,65.8,291,33,+18.39,112.5,42,94.1
34,Penn St.,B10,+18.12,113.0,33,94.9,48,68.8,138,34,+18.06,113.0,32,94.9
35,Virginia Tech,ACC,+17.50,111.7,49,94.2,37,65.9,281,36,+17.41,111.6,49,94.2
36,Connecticut,BE,+17.42,111.9,47,94.5,40,65.1,319,35,+17.41,111.9,47,94.5
37,Oregon,P12,+17.40,111.7,50,94.3,38,67.7,205,41,+16.56,111.3,53,94.8
38,Seton Hall,BE,+17.08,113.8,22,96.8,68,66.9,245,37,+17.00,113.8,22,96.8
39,Arizona,P12,+17.04,114.8,18,97.8,83,67.9,197,38,+16.99,114.8,17,97.8
40,Georgia Tech,ACC,+16.91,113.5,28,96.6,64,67.5,214,39,+16.96,113.5,28,96.5
41,Clemson,ACC,+16.62,107.4,99,90.8,13,65.2,315,42,+16.56,107.4,98,90.8
42,St. Bonaventure,A10,+16.59,112.3,44,95.7,54,65.2,313,43,+16.54,112.2,44,95.7
43,Oklahoma St.,B12,+16.47,108.4,85,91.9,19,71.1,51,40,+16.75,108.1,87,91.4
44,Missouri,SEC,+16.34,112.9,36,96.5,62,68.6,153,45,+16.28,112.8,35,96.5
45,UCLA,P12,+16.32,113.8,23,97.4,78,64.2,332,44,+16.28,113.7,23,97.4
46,VCU,A10,+16.28,106.6,112,90.3,10,69.7,98,46,+16.18,106.5,113,90.3
47,Drake,MVC,+16.10,113.6,25,97.5,79,66.9,246,50,+15.65,113.5,26,97.9
48,Memphis,Amer,+16.08,104.7,141,88.6,3,71.2,46,47,+15.97,104.7,140,88.7
49,Minnesota,B10,+15.82,112.7,40,96.8,70,69.5,111,48,+15.76,112.6,38,96.8
50,Kentucky,SEC,+15.79,107.8,91,92.1,21,67.7,204,49,+15.73,107.8,92,92.1
51,Saint Louis,A10,+15.65,110.5,59,94.8,47,68.6,157,52,+15.54,110.4,59,94.9
52,Louisville,ACC,+15.64,110.1,64,94.5,41,65.9,284,51,+15.61,110.1,64,94.5
53,Syracuse,ACC,+15.63,113.0,32,97.4,76,69.1,123,57,+14.80,113.0,31,98.2
54,Utah St.,MWC,+15.60,107.5,98,91.9,18,69.4,116,54,+15.36,107.3,99,91.9
55,Boise St.,MWC,+15.50,111.9,48,96.3,60,68.8,144,55,+15.26,111.7,48,96.4
56,SMU,Amer,+15.47,111.7,51,96.2,58,68.4,163,53,+15.40,111.6,51,96.2
57,Notre Dame,ACC,+15.10,116.6,13,101.5,147,66.4,262,56,+15.03,116.5,15,101.5
58,Xavier,BE,+14.78,111.6,53,96.8,69,68.7,148,58,+14.78,111.6,50,96.8
59,Richmond,A10,+14.73,113.6,26,98.8,103,68.5,160,59,+14.67,113.5,25,98.9
60,Mississippi,SEC,+14.53,106.6,111,92.1,23,65.5,301,60,+14.42,106.5,111,92.1
61,Stanford,P12,+14.42,106.5,114,92.1,25,69.6,102,61,+14.33,106.4,114,92.1
62,Toledo,MAC,+14.18,116.4,16,102.2,159,68.3,168,62,+14.12,116.3,16,102.2
63,Wright St.,Horz,+13.99,110.0,66,96.0,57,70.7,60,63,+13.94,110.0,66,96.0
64,Auburn,SEC,+13.97,113.0,35,99.0,107,71.8,34,64,+13.90,112.9,34,99.0
65,Michigan St.,B10,+13.12,108.1,87,95.0,50,68.8,136,65,+13.07,108.0,88,95.0
66,Colorado St.,MWC,+12.79,108.0,89,95.2,53,69.9,90,66,+12.54,107.9,90,95.4
67,Davidson,A10,+12.46,114.1,21,101.6,150,62.8,348,67,+12.42,114.0,21,101.6
68,St. John's,BE,+12.37,113.0,34,100.6,128,73.2,13,68,+12.32,113.0,33,100.6
69,Marshall,CUSA,+12.29,111.9,46,99.6,112,72.1,24,69,+12.23,111.9,45,99.7
70,UC Santa Barbara,BW,+12.23,108.9,77,96.7,66,65.1,316,70,+12.19,108.9,77,96.7
71,N.C. State,ACC,+11.91,110.3,61,98.4,92,68.0,185,71,+11.79,110.1,63,98.3
72,Mississippi St.,SEC,+11.83,107.6,96,95.8,55,65.7,294,73,+11.74,107.6,95,95.9
73,Wichita St.,Amer,+11.80,111.0,58,99.2,109,67.4,217,72,+11.77,110.9,58,99.2
74,Northwestern,B10,+11.64,106.8,109,95.2,52,68.8,145,74,+11.58,106.8,109,95.2
75,Dayton,A10,+11.49,108.9,78,97.4,77,65.3,308,76,+11.42,108.8,78,97.4
76,Belmont,OVC,+11.46,112.3,43,100.8,132,70.5,66,75,+11.42,112.3,43,100.9
77,North Texas,CUSA,+11.46,106.2,117,94.8,46,63.9,340,77,+11.41,106.2,118,94.8
78,Saint Mary's,WCC,+11.23,104.9,139,93.7,33,62.6,350,79,+11.11,104.6,141,93.5
79,Providence,BE,+11.21,109.0,76,97.8,84,65.9,287,78,+11.16,109.0,76,97.8
80,Pittsburgh,ACC,+11.17,109.3,75,98.1,89,68.8,139,80,+11.06,109.2,75,98.1
81,Utah,P12,+11.05,110.0,67,98.9,106,67.0,238,81,+10.93,109.9,68,99.0
82,Western Kentucky,CUSA,+10.46,108.8,80,98.3,91,67.9,191,82,+10.41,108.7,80,98.3
83,Marquette,BE,+10.27,108.8,79,98.5,98,66.9,239,83,+10.23,108.8,79,98.5
84,Rhode Island,A10,+10.11,105.2,134,95.1,51,68.8,146,84,+10.04,105.1,136,95.1
85,Missouri St.,MVC,+9.57,107.8,92,98.2,90,68.8,141,88,+9.37,107.7,94,98.3
86,Kent St.,MAC,+9.56,108.5,84,98.9,105,70.4,69,85,+9.51,108.4,84,98.9
87,Georgia,SEC,+9.55,109.4,73,99.9,117,72.7,16,86,+9.50,109.4,73,99.9
88,Furman,SC,+9.33,110.2,62,100.9,133,68.1,178,87,+9.44,110.3,61,100.9
89,Louisiana Tech,CUSA,+9.31,103.7,159,94.4,39,69.1,122,89,+9.26,103.6,159,94.3
90,Buffalo,MAC,+9.15,107.8,93,98.6,100,73.5,11,90,+9.07,107.7,93,98.6
91,Akron,MAC,+9.07,110.0,68,100.9,134,69.1,126,91,+9.03,109.9,67,100.9
92,Georgetown,BE,+8.96,106.9,106,98.0,87,69.8,94,93,+8.88,106.8,107,98.0
93,Colgate,Pat,+8.91,110.2,63,101.3,139,72.1,25,92,+8.90,110.2,62,101.3
94,Abilene Christian,Slnd,+8.68,102.1,191,93.4,30,69.1,125,97,+8.44,101.8,193,93.4
95,UCF,Amer,+8.62,107.7,95,99.0,108,66.8,252,94,+8.57,107.6,96,99.0
96,Washington St.,P12,+8.56,102.8,177,94.2,36,68.0,186,95,+8.49,102.7,177,94.2
97,Nevada,MWC,+8.55,107.1,104,98.5,97,69.6,101,98,+8.33,106.9,106,98.6
98,South Carolina,SEC,+8.46,107.3,100,98.9,104,74.2,8,96,+8.44,107.3,100,98.8
99,Arizona St.,P12,+8.26,109.4,74,101.1,136,72.6,18,99,+8.22,109.3,74,101.1
100,San Francisco,WCC,+8.00,106.5,115,98.5,95,68.0,182,101,+7.81,106.4,115,98.6
101,UAB,CUSA,+7.83,103.7,160,95.8,56,67.3,223,100,+7.81,103.6,158,95.8
102,Cincinnati,Amer,+7.34,104.3,145,97.0,71,70.2,77,103,+7.31,104.3,144,97.0
103,Vanderbilt,SEC,+7.34,110.1,65,102.7,169,68.8,137,104,+7.31,110.0,65,102.7
104,Winthrop,BSth,+7.16,105.1,136,98.0,88,73.5,12,105,+7.02,105.1,137,98.1
105,Liberty,ASun,+7.09,107.7,94,100.6,124,62.5,351,102,+7.80,108.1,86,100.3
106,Oregon St.,P12,+7.03,106.7,110,99.6,114,65.5,302,107,+6.97,106.6,110,99.6
107,Ohio,MAC,+7.00,111.2,56,104.1,198,68.7,147,108,+6.96,111.1,56,104.1
108,Duquesne,A10,+6.96,103.5,162,96.6,63,67.8,202,109,+6.93,103.5,162,96.5
109,Yale,Ivy,+6.85,108.7,81,101.9,154,67.8,203,110,+6.85,108.7,81,101.8
110,Massachusetts,A10,+6.79,106.4,116,99.6,113,72.3,21,111,+6.76,106.4,116,99.6
111,Tulsa,Amer,+6.74,102.9,172,96.2,59,65.1,317,112,+6.69,102.8,173,96.2
112,Eastern Washington,BSky,+6.67,111.1,57,104.5,207,72.8,15,113,+6.59,111.1,57,104.5
113,Pepperdine,WCC,+6.28,106.9,108,100.6,127,71.1,48,114,+6.27,106.8,108,100.5
114,UNC Greensboro,SC,+6.22,102.9,173,96.7,65,68.0,190,106,+6.99,103.2,167,96.2
115,Loyola Marymount,WCC,+6.16,106.2,120,100.0,119,67.3,222,115,+6.14,106.1,119,100.0
116,Nebraska,B10,+5.81,100.6,223,94.8,45,71.3,43,117,+5.74,100.5,223,94.8
117,UC Irvine,BW,+5.77,102.1,190,96.4,61,67.2,226,116,+5.76,102.1,188,96.4
118,Indiana St.,MVC,+5.77,105.8,128,100.0,118,67.5,213,119,+5.59,105.6,128,100.0
119,UC Riverside,BW,+5.65,104.1,150,98.4,94,66.6,257,118,+5.64,104.0,150,98.4
120,Vermont,AE,+5.56,106.5,113,101.0,135,66.8,249,120,+5.54,106.5,112,101.0
121,DePaul,BE,+5.31,99.9,235,94.6,44,70.4,68,121,+5.26,99.9,236,94.6
122,South Dakota St.,Sum,+5.19,109.8,70,104.6,210,71.5,41,123,+5.10,109.7,70,104.6
123,Boston College,ACC,+5.15,105.8,127,100.6,126,70.8,56,124,+5.01,105.6,127,100.6
124,TCU,B12,+5.11,107.3,101,102.2,160,66.8,248,122,+5.10,107.3,101,102.2
125,South Florida,Amer,+4.94,103.8,158,98.8,102,66.9,242,125,+4.90,103.7,157,98.8
126,Pacific,WCC,+4.79,104.1,149,99.3,110,65.8,289,126,+4.77,104.1,148,99.3
127,East Tennessee St.,SC,+4.75,103.3,166,98.6,99,65.2,310,127,+4.73,103.3,166,98.6
128,Texas A&M,SEC,+4.68,101.8,196,97.1,72,63.8,341,128,+4.68,101.7,195,97.0
129,Bowling Green,MAC,+4.63,107.9,90,103.2,179,70.2,74,129,+4.58,107.8,91,103.2
130,Wofford,SC,+4.55,106.9,107,102.4,164,66.1,275,130,+4.56,106.9,104,102.4
131,Butler,BE,+4.20,101.5,202,97.3,73,64.6,325,132,+4.16,101.4,200,97.3
