,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Iowa St.,0
15,16,Howard,LIU,Vermont,Grambling St.,1
7,8,Utah St.,LSU,USC,Seton Hall,2
8,9,Florida,Kentucky,Indiana,Auburn,3
4,5,Arkansas,Kansas,Louisville,Texas Tech,4
11,12,McNeese St.,Yale,Tulsa,Illinois St.,5
3,4,Alabama,Illinois,Villanova,North Carolina,6
12,13,Liberty,Utah Valley,Hofstra,UC San Diego,7
5,6,Virginia,UCF,SMU,Tennessee,8
10,11,Miami FL,Ohio St.,Oklahoma,Boise St.,9
2,3,BYU,Nebraska,Houston,Michigan St.,10
13,14,Quinnipiac,High Point,St. Thomas,Troy,11
6,7,Iowa,Georgia,Clemson,Saint Mary's,12
9,10,Saint Louis,UCLA,California,Virginia Tech,13
1,2,Purdue,Duke,Connecticut,Gonzaga,14
14,15,Northern Colorado,Oakland,Lipscomb,Tennessee Martin,15
