,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Vermont,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,Iowa,UCF,SMU,Texas A&M,2
8,9,Villanova,N.C. State,Utah St.,Wisconsin,3
4,5,Florida,Alabama,Arkansas,North Carolina,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,Vanderbilt,BYU,Kansas,Texas Tech,6
12,13,Hawaii,High Point,Stephen F. Austin,Troy,7
5,6,Auburn,Tennessee,Louisville,St. John's,8
10,11,Ohio St.,Virginia Tech,California,New Mexico,9
2,3,Virginia,Houston,Michigan St.,Purdue,10
13,14,Portland St.,UNC Wilmington,North Dakota St.,Utah Valley,11
6,7,Georgia,Kentucky,Clemson,Saint Louis,12
9,10,Miami FL,Saint Mary's,TCU,UCLA,13
1,2,Connecticut,Iowa St.,Illinois,Gonzaga,14
14,15,Navy,East Tennessee St.,Austin Peay,Oakland,15
