,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Howard,Navy,Portland St.,Grambling St.,1
7,8,Georgia,Seton Hall,Miami FL,St. John's,2
8,9,Kentucky,Saint Mary's,Wisconsin,Texas A&M,3
4,5,Clemson,North Carolina,Florida,Texas Tech,4
11,12,McNeese St.,Belmont,Tulsa,Hofstra,5
3,4,Kansas,Virginia,Alabama,Michigan St.,6
12,13,Liberty,Yale,Hawaii,Utah Valley,7
5,6,Utah St.,Arkansas,Villanova,Tennessee,8
10,11,TCU,Baylor,Indiana,Virginia Tech,9
2,3,BYU,Illinois,Houston,Gonzaga,10
13,14,Arkansas St.,Quinnipiac,St. Thomas,High Point,11
6,7,Louisville,UCF,SMU,Saint Louis,12
9,10,New Mexico,N.C. State,USC,Iowa,13
1,2,Iowa St.,Purdue,Vanderbilt,Nebraska,14
14,15,Furman,Wright St.,Austin Peay,Tennessee Martin,15
