,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,UMBC,Bethune Cookman,Tennessee St.,Robert Morris,1
7,8,UCF,Miami FL,Utah St.,UCLA,2
8,9,Georgia,Saint Mary's,Villanova,Texas A&M,3
4,5,Vanderbilt,North Carolina,Arkansas,Tennessee,4
11,12,Yale,Stephen F. Austin,South Florida,Belmont,5
3,4,Gonzaga,Michigan St.,Alabama,Texas Tech,6
12,13,High Point,Liberty,UNC Wilmington,Utah Valley,7
5,6,BYU,Kentucky,Louisville,St. John's,8
10,11,California,Missouri,Indiana,Ohio St.,9
2,3,Virginia,Houston,Kansas,Nebraska,10
13,14,North Dakota St.,Hawaii,Austin Peay,Navy,11
6,7,Iowa,Saint Louis,N.C. State,Wisconsin,12
9,10,SMU,Clemson,TCU,Texas,13
1,2,Iowa St.,Purdue,Illinois,Florida,14
14,15,South Alabama,Merrimack,Portland St.,East Tennessee St.,15
