,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,LIU,Grambling St.,Howard,Tennessee Martin,1
7,8,Clemson,LSU,SMU,Saint Mary's,2
8,9,N.C. State,California,Villanova,UCLA,3
4,5,Arkansas,Tennessee,Louisville,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Alabama,Illinois,Kansas,North Carolina,6
12,13,Utah Valley,William & Mary,Liberty,UC San Diego,7
5,6,Utah St.,Virginia,USC,Seton Hall,8
10,11,Saint Louis,Oklahoma St.,Georgia,Virginia Tech,9
2,3,BYU,Nebraska,Houston,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,St. Thomas,High Point,11
6,7,UCF,Florida,Iowa,Kentucky,12
9,10,Baylor,Auburn,Butler,St. John's,13
1,2,Connecticut,Purdue,Vanderbilt,Gonzaga,14
14,15,Furman,Idaho,Lipscomb,Robert Morris,15
