,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,LIU,Southern,Vermont,Youngstown St.,1
7,8,UCF,Yale,SMU,Ohio St.,2
8,9,Miami FL,Texas Tech,LSU,Virginia Tech,3
4,5,Clemson,Virginia,USC,Nebraska,4
11,12,Akron,McNeese St.,Tulsa,UC San Diego,5
3,4,Houston,Illinois,Arkansas,North Carolina,6
12,13,Utah Valley,High Point,UNC Wilmington,Illinois St.,7
5,6,Saint Mary's,Seton Hall,Kansas,Auburn,8
10,11,Wisconsin,Colorado,Saint Louis,St. John's,9
2,3,Purdue,BYU,Louisville,Alabama,10
13,14,Siena,Northern Colorado,Liberty,East Tennessee St.,11
6,7,Florida,Oklahoma St.,Georgia,Tennessee,12
9,10,Butler,California,Utah St.,UCLA,13
1,2,Michigan St.,Connecticut,Vanderbilt,Gonzaga,14
14,15,North Dakota St.,Arkansas St.,Colgate,Lipscomb,15
