,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Merrimack,Vermont,Montana,Bethune Cookman,1
7,8,Villanova,N.C. State,SMU,Texas A&M,2
8,9,UCF,Georgia,Utah St.,UCLA,3
4,5,Arkansas,Alabama,Kansas,Tennessee,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Virginia,Texas Tech,6
12,13,Stephen F. Austin,High Point,UNC Wilmington,Utah Valley,7
5,6,North Carolina,Auburn,Louisville,St. John's,8
10,11,Saint Mary's,Ohio St.,TCU,Virginia Tech,9
2,3,Michigan St.,Houston,Vanderbilt,Purdue,10
13,14,UC Irvine,Troy,North Dakota St.,Mercer,11
6,7,Iowa,Kentucky,Clemson,Saint Louis,12
9,10,Indiana,Miami FL,New Mexico,Wisconsin,13
1,2,Iowa St.,Illinois,Connecticut,Gonzaga,14
14,15,Navy,Oakland,Austin Peay,Tennessee Martin,15
