,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Gonzaga,0
15,16,LIU,Grambling St.,Howard,Oakland,1
7,8,LSU,Kentucky,Clemson,Auburn,2
8,9,Georgia,Seton Hall,UCF,St. John's,3
4,5,Virginia,Tennessee,Kansas,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Illinois St.,5
3,4,Houston,Alabama,Louisville,Illinois,6
12,13,Utah Valley,UC San Diego,Hofstra,Liberty,7
5,6,USC,Utah St.,Villanova,Arkansas,8
10,11,Ohio St.,Oklahoma St.,Saint Louis,Boise St.,9
2,3,Nebraska,North Carolina,BYU,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,Northern Colorado,High Point,11
6,7,Iowa,Florida,SMU,Saint Mary's,12
9,10,N.C. State,Baylor,Butler,UCLA,13
1,2,Connecticut,Purdue,Vanderbilt,Duke,14
14,15,Lipscomb,Furman,St. Thomas,Tennessee Martin,15
