,Seed,east,midwest,south,west,seedings
0,1,Michigan,Vanderbilt,Arizona,Iowa St.,0
15,16,Howard,LIU,Lipscomb,Grambling St.,1
7,8,Florida,Saint Mary's,Utah St.,Seton Hall,2
8,9,Kentucky,Baylor,LSU,Auburn,3
4,5,Louisville,Arkansas,Villanova,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Kansas,North Carolina,Illinois,Michigan St.,6
12,13,Utah Valley,UC San Diego,Hofstra,Liberty,7
5,6,UCF,Virginia,SMU,Tennessee,8
10,11,Miami FL,Saint Louis,TCU,Boise St.,9
2,3,BYU,Nebraska,Houston,Alabama,10
13,14,Quinnipiac,High Point,St. Thomas,Troy,11
6,7,Clemson,Iowa,USC,Georgia,12
9,10,Ohio St.,UCLA,N.C. State,St. John's,13
1,2,Purdue,Duke,Connecticut,Gonzaga,14
14,15,Northern Colorado,Oakland,Furman,Tennessee Martin,15
