,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,UMBC,Southeast Missouri St.,Merrimack,Bethune Cookman,1
7,8,Clemson,Texas,Villanova,Saint Louis,2
8,9,Miami FL,Georgia,SMU,Texas A&M,3
4,5,Arkansas,Vanderbilt,Louisville,Tennessee,4
11,12,Stephen F. Austin,Liberty,South Florida,Belmont,5
3,4,Alabama,Michigan St.,Virginia,Texas Tech,6
12,13,UNC Wilmington,High Point,Yale,Utah Valley,7
5,6,Kentucky,North Carolina,BYU,St. John's,8
10,11,UCLA,Auburn,Ohio St.,Virginia Tech,9
2,3,Purdue,Florida,Kansas,Nebraska,10
13,14,North Dakota St.,UC Irvine,Austin Peay,Troy,11
6,7,N.C. State,Iowa,Utah St.,Wisconsin,12
9,10,UCF,Saint Mary's,Indiana,Missouri,13
1,2,Connecticut,Houston,Illinois,Gonzaga,14
14,15,Wright St.,Navy,Portland St.,East Tennessee St.,15
