,Seed,east,midwest,south,west,seedings
0,1,Michigan,Florida,Arizona,Duke,0
15,16,UMBC,Lehigh,Queens,Southern,1
7,8,TCU,Iowa,Clemson,Ohio St.,2
8,9,N.C. State,Saint Mary's,Villanova,Texas A&M,3
4,5,Arkansas,Tennessee,Louisville,Texas Tech,4
11,12,Akron,McNeese St.,Yale,High Point,5
3,4,Vanderbilt,Nebraska,Kansas,Alabama,6
12,13,Northern Iowa,Utah Valley,Hofstra,Sam Houston St.,7
5,6,BYU,North Carolina,Wisconsin,St. John's,8
10,11,Oklahoma,VCU,SMU,Missouri,9
2,3,Virginia,Gonzaga,Purdue,Michigan St.,10
13,14,UC Irvine,Wright St.,North Dakota St.,Troy,11
6,7,Georgia,Kentucky,Miami FL,UCLA,12
9,10,Miami OH,UCF,Utah St.,Saint Louis,13
1,2,Connecticut,Iowa St.,Illinois,Houston,14
14,15,Furman,Tennessee St.,Siena,Idaho,15
