,Seed,east,midwest,south,west,seedings
0,1,Michigan,Purdue,Arizona,Duke,0
15,16,Southern,Robert Morris,LIU,Norfolk St.,1
7,8,Illinois,Colorado,Yale,Texas Tech,2
8,9,Tulsa,Florida,Santa Clara,Seton Hall,3
4,5,Butler,Indiana,Utah St.,North Carolina,4
11,12,N.C. State,Akron,Missouri,Cal Baptist,5
3,4,USC,Houston,Kansas,Alabama,6
12,13,High Point,New Mexico St.,Belmont,UC San Diego,7
5,6,Iowa,Nebraska,SMU,Auburn,8
10,11,McNeese St.,Saint Louis,Kansas St.,Baylor,9
2,3,BYU,Tennessee,Louisville,Gonzaga,10
13,14,UNC Wilmington,South Alabama,St. Thomas,Austin Peay,11
6,7,Clemson,Saint Mary's,Virginia,Oklahoma St.,12
9,10,UCF,LSU,St. John's,George Mason,13
1,2,Vanderbilt,Connecticut,Michigan St.,Iowa St.,14
14,15,Tennessee St.,East Tennessee St.,Northern Colorado,Siena,15
