,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,Howard,Furman,LIU,Grambling St.,1
7,8,UCF,Miami FL,Iowa,Georgia,2
8,9,Saint Mary's,Texas A&M,USC,St. John's,3
4,5,Arkansas,Virginia,Louisville,Texas Tech,4
11,12,Tulsa,Murray St.,Yale,McNeese St.,5
3,4,Alabama,Illinois,Kansas,North Carolina,6
12,13,High Point,Liberty,Utah Valley,Hofstra,7
5,6,SMU,Clemson,Villanova,Tennessee,8
10,11,Baylor,Missouri,Stanford,Oklahoma St.,9
2,3,BYU,Gonzaga,Houston,Michigan St.,10
13,14,Northern Colorado,UC Irvine,St. Thomas,Quinnipiac,11
6,7,Florida,Saint Louis,Utah St.,Seton Hall,12
9,10,TCU,Creighton,Indiana,Ohio St.,13
1,2,Connecticut,Purdue,Vanderbilt,Nebraska,14
14,15,Austin Peay,Oakland,Arkansas St.,Tennessee Martin,15
