,Seed,east,midwest,south,west,seedings
0,1,Michigan,Vanderbilt,Arizona,Iowa St.,0
15,16,Howard,Grambling St.,Lindenwood,LIU,1
7,8,UCF,Auburn,Iowa,St. John's,2
8,9,Georgia,Kentucky,LSU,Seton Hall,3
4,5,Kansas,Tennessee,Arkansas,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Illinois St.,5
3,4,Louisville,Houston,Illinois,North Carolina,6
12,13,Utah Valley,UC San Diego,Liberty,William & Mary,7
5,6,Utah St.,Florida,Villanova,Virginia,8
10,11,Saint Louis,UCLA,Miami FL,Virginia Tech,9
2,3,Nebraska,Alabama,BYU,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,St. Thomas,High Point,11
6,7,SMU,Clemson,USC,Saint Mary's,12
9,10,Baylor,Ohio St.,N.C. State,Boise St.,13
1,2,Purdue,Duke,Connecticut,Gonzaga,14
14,15,Northern Colorado,Furman,Lipscomb,Oakland,15
