,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Tennessee St.,UMBC,Merrimack,Bethune Cookman,1
7,8,Saint Louis,Iowa,Clemson,UCLA,2
8,9,N.C. State,TCU,Villanova,Texas A&M,3
4,5,Vanderbilt,North Carolina,Arkansas,Tennessee,4
11,12,Yale,McNeese St.,South Florida,Belmont,5
3,4,Nebraska,Alabama,Kansas,Texas Tech,6
12,13,High Point,Liberty,UNC Wilmington,Utah Valley,7
5,6,Wisconsin,Kentucky,Louisville,St. John's,8
10,11,Indiana,Missouri,Miami OH,Cincinnati,9
2,3,Virginia,Iowa St.,Michigan St.,Gonzaga,10
13,14,Hawaii,Navy,North Dakota St.,Troy,11
6,7,Georgia,BYU,Miami FL,Saint Mary's,12
9,10,Texas,UCF,Utah St.,Ohio St.,13
1,2,Houston,Purdue,Illinois,Florida,14
14,15,Northern Colorado,East Tennessee St.,Austin Peay,Robert Morris,15
