,Seed,east,midwest,south,west,seedings
0,1,Michigan,Purdue,Arizona,Duke,0
15,16,SIU Edwardsville,LIU,Vermont,Southern,1
7,8,Illinois,Colorado,Santa Clara,Seton Hall,2
8,9,LSU,Yale,Arkansas,Texas Tech,3
4,5,Clemson,Virginia,Utah St.,Auburn,4
11,12,George Mason,McNeese St.,Akron,William & Mary,5
3,4,Louisville,Houston,USC,Tennessee,6
12,13,Northern Iowa,UC San Diego,South Alabama,Cal Baptist,7
5,6,Butler,Nebraska,Kansas,Oklahoma St.,8
10,11,Oklahoma,Baylor,TCU,St. John's,9
2,3,Alabama,North Carolina,BYU,Gonzaga,10
13,14,Northern Colorado,High Point,Lipscomb,New Mexico St.,11
6,7,UCF,Georgia,SMU,Saint Mary's,12
9,10,Miami FL,Florida,Indiana,Saint Louis,13
1,2,Connecticut,Iowa St.,Vanderbilt,Michigan St.,14
14,15,Siena,East Tennessee St.,Colgate,Oakland,15
