,Seed,east,midwest,south,west,seedings
0,1,Purdue,Houston,Arizona,Duke,0
15,16,Navy,Milwaukee,LIU,Norfolk St.,1
7,8,St. John's,Iowa,SMU,Baylor,2
8,9,Butler,Saint Mary's,Northwestern,Auburn,3
4,5,Alabama,Ohio St.,Nebraska,Tennessee,4
11,12,Liberty,Akron,South Florida,High Point,5
3,4,Iowa St.,BYU,Indiana,North Carolina,6
12,13,Cal Baptist,McNeese St.,Yale,Troy,7
5,6,Clemson,Georgia,USC,Virginia,8
10,11,Saint Louis,Kentucky,Northern Iowa,Missouri,9
2,3,Michigan St.,Vanderbilt,Illinois,Florida,10
13,14,Iona,South Dakota St.,UNC Wilmington,UC San Diego,11
6,7,N.C. State,Oklahoma St.,Utah St.,UCLA,12
9,10,Santa Clara,Georgetown,Mississippi,Arkansas,13
1,2,Michigan,Connecticut,Louisville,Gonzaga,14
14,15,Florida Gulf Coast,East Tennessee St.,Northern Colorado,Bethune Cookman,15
