,Seed,east,midwest,south,west,seedings
0,1,Houston,Purdue,Michigan,Duke,0
15,16,Southern,Oakland,LIU,Norfolk St.,1
7,8,Utah St.,SMU,Kansas,Iowa,2
8,9,George Washington,N.C. State,Butler,Saint Mary's,3
4,5,Nebraska,Ohio St.,Indiana,Auburn,4
11,12,Yale,Liberty,South Florida,High Point,5
3,4,Vanderbilt,BYU,USC,North Carolina,6
12,13,Akron,McNeese St.,Cal Baptist,UC San Diego,7
5,6,Baylor,Clemson,Georgia,Tennessee,8
10,11,Northern Iowa,Kentucky,Georgetown,St. John's,9
2,3,Michigan St.,Connecticut,Illinois,Florida,10
13,14,Iona,South Dakota St.,UNC Wilmington,Marshall,11
6,7,Oklahoma St.,Virginia,Alabama,UCLA,12
9,10,Arkansas,Maryland,Northwestern,Missouri,13
1,2,Arizona,Iowa St.,Louisville,Gonzaga,14
14,15,Northern Colorado,Florida Gulf Coast,East Tennessee St.,Navy,15
