,Seed,east,midwest,south,west,seedings
0,1,Michigan,Florida,Arizona,Duke,0
15,16,UMBC,Lehigh,Queens,Southern,1
7,8,Saint Mary's,Iowa,TCU,Ohio St.,2
8,9,Villanova,Clemson,Miami OH,Texas A&M,3
4,5,Arkansas,Vanderbilt,Louisville,Tennessee,4
11,12,Yale,McNeese St.,South Florida,High Point,5
3,4,Virginia,Alabama,Kansas,Texas Tech,6
12,13,Sam Houston St.,Northern Iowa,Hofstra,Utah Valley,7
5,6,BYU,North Carolina,Wisconsin,St. John's,8
10,11,Oklahoma,Missouri,Texas,VCU,9
2,3,Purdue,Nebraska,Iowa St.,Gonzaga,10
13,14,UC Irvine,Wright St.,North Dakota St.,Troy,11
6,7,Georgia,Kentucky,Miami FL,UCLA,12
9,10,N.C. State,UCF,Utah St.,Saint Louis,13
1,2,Michigan St.,Connecticut,Illinois,Houston,14
14,15,Furman,Tennessee St.,Siena,Idaho,15
