,Seed,east,midwest,south,west,seedings
0,1,Michigan,Florida,Arizona,Duke,0
15,16,Queens,UMBC,Prairie View A&M,Lehigh,1
7,8,Clemson,TCU,Villanova,Georgia,2
8,9,N.C. State,Iowa,Utah St.,Ohio St.,3
4,5,Wisconsin,Tennessee,Arkansas,Texas Tech,4
11,12,Akron,McNeese St.,Yale,High Point,5
3,4,Nebraska,Alabama,Kansas,Michigan St.,6
12,13,Hofstra,Northern Iowa,Cal Baptist,Hawaii,7
5,6,BYU,North Carolina,Louisville,St. John's,8
10,11,Oklahoma,VCU,UCF,Missouri,9
2,3,Virginia,Illinois,Vanderbilt,Gonzaga,10
13,14,Kennesaw St.,Wright St.,North Dakota St.,Troy,11
6,7,Kentucky,Saint Mary's,Miami FL,UCLA,12
9,10,Miami OH,Saint Louis,Santa Clara,Texas A&M,13
1,2,Houston,Iowa St.,Connecticut,Purdue,14
14,15,Furman,Tennessee St.,Siena,Idaho,15
