,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Tennessee St.,UMBC,Merrimack,Bethune Cookman,1
7,8,Miami FL,Saint Louis,Villanova,UCLA,2
8,9,Clemson,N.C. State,Utah St.,Texas,3
4,5,Vanderbilt,North Carolina,Arkansas,Tennessee,4
11,12,Yale,McNeese St.,South Florida,Belmont,5
3,4,Alabama,Nebraska,Kansas,Gonzaga,6
12,13,High Point,Liberty,UNC Wilmington,Utah Valley,7
5,6,BYU,Kentucky,Louisville,St. John's,8
10,11,Indiana,Missouri,Miami OH,New Mexico,9
2,3,Iowa St.,Purdue,Virginia,Texas Tech,10
13,14,North Dakota St.,Hawaii,Austin Peay,Navy,11
6,7,Georgia,Saint Mary's,Wisconsin,Iowa,12
9,10,TCU,Ohio St.,UCF,Texas A&M,13
1,2,Michigan St.,Florida,Illinois,Houston,14
14,15,Arkansas St.,East Tennessee St.,Northern Colorado,Robert Morris,15
