,Seed,east,midwest,south,west,seedings
0,1,Connecticut,Purdue,Michigan,Duke,0
15,16,Southern,Tennessee St.,LIU,Norfolk St.,1
7,8,St. John's,Georgia,SMU,Saint Mary's,2
8,9,Utah St.,Texas,Santa Clara,LSU,3
4,5,Iowa,Florida,USC,North Carolina,4
11,12,McNeese St.,High Point,Akron,Belmont,5
3,4,Alabama,Kansas,Indiana,BYU,6
12,13,Tulsa,Cal Baptist,UNC Wilmington,UC San Diego,7
5,6,Nebraska,Clemson,Illinois,Auburn,8
10,11,Kentucky,Wisconsin,George Mason,Texas A&M,9
2,3,Tennessee,Gonzaga,Louisville,Michigan St.,10
13,14,Northern Colorado,Siena,South Alabama,New Mexico St.,11
6,7,Ohio St.,Oklahoma St.,Baylor,Virginia,12
9,10,N.C. State,Miami FL,TCU,Missouri,13
1,2,Vanderbilt,Iowa St.,Arizona,Houston,14
14,15,East Tennessee St.,Austin Peay,St. Thomas,Robert Morris,15
