,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Merrimack,Vermont,Howard,Bethune Cookman,1
7,8,UCF,Saint Louis,SMU,Texas A&M,2
8,9,Miami FL,Wisconsin,Utah St.,Auburn,3
4,5,Arkansas,St. John's,Kansas,Texas Tech,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Vanderbilt,Alabama,6
12,13,High Point,Utah Valley,Stephen F. Austin,Troy,7
5,6,Clemson,Georgia,Louisville,North Carolina,8
10,11,Seton Hall,Virginia Tech,Ohio St.,New Mexico,9
2,3,Michigan St.,Virginia,Illinois,Iowa St.,10
13,14,UNC Wilmington,Hawaii,St. Thomas,Oakland,11
6,7,Iowa,Kentucky,Villanova,Tennessee,12
9,10,N.C. State,Saint Mary's,USC,UCLA,13
1,2,Houston,Purdue,Connecticut,Gonzaga,14
14,15,Montana St.,Tennessee Martin,Austin Peay,Mercer,15
