,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,Howard,Navy,Portland St.,Grambling St.,1
7,8,Miami FL,Seton Hall,UCF,St. John's,2
8,9,Saint Mary's,Iowa,Wisconsin,Texas A&M,3
4,5,Florida,Clemson,Kansas,Texas Tech,4
11,12,Murray St.,McNeese St.,Tulsa,Hofstra,5
3,4,Virginia,North Carolina,Alabama,Michigan St.,6
12,13,Liberty,Yale,Hawaii,Utah Valley,7
5,6,Utah St.,Louisville,Villanova,Arkansas,8
10,11,Kentucky,Ohio St.,TCU,Virginia Tech,9
2,3,BYU,Illinois,Houston,Gonzaga,10
13,14,Arkansas St.,Quinnipiac,St. Thomas,High Point,11
6,7,Georgia,Saint Louis,SMU,Tennessee,12
9,10,New Mexico,N.C. State,USC,Auburn,13
1,2,Connecticut,Purdue,Vanderbilt,Nebraska,14
14,15,Furman,Wright St.,Austin Peay,Tennessee Martin,15
