,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Vermont,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,N.C. State,Auburn,Villanova,Texas A&M,2
8,9,Indiana,UCF,SMU,Texas,3
4,5,North Carolina,Tennessee,Arkansas,Texas Tech,4
11,12,Stephen F. Austin,Liberty,Tulsa,Belmont,5
3,4,Vanderbilt,Florida,Kansas,Alabama,6
12,13,Hawaii,High Point,Yale,Utah Valley,7
5,6,Kentucky,Saint Louis,Louisville,St. John's,8
10,11,Miami FL,Missouri,California,Ohio St.,9
2,3,Virginia,Gonzaga,Purdue,Michigan St.,10
13,14,Portland St.,UNC Wilmington,Austin Peay,Troy,11
6,7,Clemson,Iowa,Utah St.,BYU,12
9,10,Saint Mary's,Wisconsin,Georgia,UCLA,13
1,2,Iowa St.,Houston,Illinois,Nebraska,14
14,15,Wright St.,Navy,North Dakota St.,East Tennessee St.,15
