,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Iowa St.,0
15,16,Howard,LIU,Vermont,Grambling St.,1
7,8,LSU,Florida,Utah St.,Saint Mary's,2
8,9,Indiana,Kentucky,USC,Auburn,3
4,5,Arkansas,Kansas,Louisville,Texas Tech,4
11,12,McNeese St.,Yale,Tulsa,Illinois St.,5
3,4,Houston,Illinois,Villanova,North Carolina,6
12,13,Liberty,Utah Valley,Hofstra,UC San Diego,7
5,6,Virginia,UCF,SMU,Tennessee,8
10,11,TCU,Miami FL,California,St. John's,9
2,3,Alabama,Gonzaga,BYU,Michigan St.,10
13,14,Quinnipiac,High Point,St. Thomas,Troy,11
6,7,Iowa,Georgia,Clemson,Seton Hall,12
9,10,Saint Louis,UCLA,Oklahoma,Virginia Tech,13
1,2,Purdue,Nebraska,Connecticut,Duke,14
14,15,Northern Colorado,Oakland,Lipscomb,Tennessee Martin,15
