,Seed,east,midwest,south,west,seedings
0,1,Michigan,Florida,Arizona,Duke,0
15,16,Tennessee St.,UMBC,Merrimack,Bethune Cookman,1
7,8,Clemson,Iowa,Miami OH,UCLA,2
8,9,TCU,Saint Louis,Villanova,Texas A&M,3
4,5,Vanderbilt,North Carolina,Arkansas,Tennessee,4
11,12,Yale,McNeese St.,South Florida,High Point,5
3,4,Nebraska,Gonzaga,Kansas,Texas Tech,6
12,13,Northern Iowa,Utah Valley,UNC Wilmington,Liberty,7
5,6,Wisconsin,Kentucky,Louisville,St. John's,8
10,11,UCF,VCU,Indiana,Missouri,9
2,3,Virginia,Iowa St.,Michigan St.,Alabama,10
13,14,UC Irvine,Navy,North Dakota St.,Troy,11
6,7,Georgia,BYU,Miami FL,Saint Mary's,12
9,10,Texas,N.C. State,Utah St.,Ohio St.,13
1,2,Connecticut,Houston,Illinois,Purdue,14
14,15,Northern Colorado,East Tennessee St.,Central Arkansas,Robert Morris,15
