,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Vermont,Navy,Merrimack,Bethune Cookman,1
7,8,Clemson,N.C. State,Utah St.,UCF,2
8,9,Villanova,Indiana,SMU,Wisconsin,3
4,5,Alabama,North Carolina,BYU,Tennessee,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,Virginia,Florida,Kansas,Texas Tech,6
12,13,UNC Wilmington,Stephen F. Austin,Cal Baptist,High Point,7
5,6,Arkansas,Kentucky,Louisville,Texas A&M,8
10,11,Texas,Saint Mary's,California,Virginia Tech,9
2,3,Michigan St.,Houston,Vanderbilt,Purdue,10
13,14,Hawaii,Troy,North Dakota St.,Mercer,11
6,7,Saint Louis,Auburn,Iowa,St. John's,12
9,10,Miami FL,Georgia,USC,UCLA,13
1,2,Nebraska,Illinois,Iowa St.,Gonzaga,14
14,15,Austin Peay,Oakland,Portland St.,Tennessee Martin,15
