,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,UMBC,Tennessee Martin,Merrimack,Bethune Cookman,1
7,8,Clemson,N.C. State,Villanova,Texas,2
8,9,Indiana,Miami FL,SMU,Texas A&M,3
4,5,Arkansas,Alabama,Louisville,Tennessee,4
11,12,Stephen F. Austin,Liberty,South Florida,Belmont,5
3,4,Virginia,Michigan St.,Vanderbilt,Texas Tech,6
12,13,Hawaii,High Point,UNC Wilmington,Yale,7
5,6,Kentucky,North Carolina,BYU,St. John's,8
10,11,Ohio St.,UCLA,TCU,Virginia Tech,9
2,3,Purdue,Florida,Kansas,Nebraska,10
13,14,North Dakota St.,Portland St.,Cal Baptist,Austin Peay,11
6,7,Wisconsin,Saint Louis,Utah St.,Iowa,12
9,10,Georgia,Saint Mary's,UCF,Auburn,13
1,2,Houston,Illinois,Connecticut,Gonzaga,14
14,15,Wright St.,Navy,South Alabama,East Tennessee St.,15
