,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Merrimack,Tennessee St.,Bethune Cookman,UMBC,1
7,8,Saint Louis,Iowa,Clemson,UCLA,2
8,9,N.C. State,TCU,Villanova,Texas A&M,3
4,5,Vanderbilt,North Carolina,Arkansas,Tennessee,4
11,12,Yale,McNeese St.,South Florida,High Point,5
3,4,Nebraska,Alabama,Kansas,Texas Tech,6
12,13,Hawaii,Utah Valley,UNC Wilmington,Liberty,7
5,6,Wisconsin,Kentucky,Louisville,St. John's,8
10,11,VCU,Missouri,UCF,Cincinnati,9
2,3,Virginia,Iowa St.,Michigan St.,Gonzaga,10
13,14,Navy,Bradley,North Dakota St.,Troy,11
6,7,Georgia,BYU,Miami FL,Saint Mary's,12
9,10,Miami OH,Texas,Utah St.,Ohio St.,13
1,2,Houston,Purdue,Illinois,Florida,14
14,15,Northern Colorado,East Tennessee St.,Central Arkansas,Robert Morris,15
