,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Vermont,Navy,Merrimack,Bethune Cookman,1
7,8,UCF,Saint Louis,SMU,Auburn,2
8,9,Wisconsin,UCLA,N.C. State,Texas A&M,3
4,5,Arkansas,Alabama,Kansas,St. John's,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Vanderbilt,Texas Tech,6
12,13,High Point,Utah Valley,Stephen F. Austin,Troy,7
5,6,Clemson,Georgia,Louisville,Kentucky,8
10,11,Ohio St.,Seton Hall,Stanford,New Mexico,9
2,3,Michigan St.,Virginia,Illinois,Iowa St.,10
13,14,UNC Wilmington,Hawaii,St. Thomas,Mercer,11
6,7,Iowa,North Carolina,Villanova,Tennessee,12
9,10,Miami FL,Saint Mary's,Utah St.,Virginia Tech,13
1,2,Houston,Purdue,Connecticut,Gonzaga,14
14,15,Wright St.,Montana St.,Austin Peay,Tennessee Martin,15
