,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Navy,UMBC,Merrimack,Bethune Cookman,1
7,8,N.C. State,Auburn,Villanova,Texas A&M,2
8,9,Indiana,UCF,SMU,Wisconsin,3
4,5,Alabama,North Carolina,St. John's,Texas Tech,4
11,12,Stephen F. Austin,Liberty,Tulsa,Belmont,5
3,4,Florida,Tennessee,Kansas,Michigan St.,6
12,13,UNC Wilmington,High Point,Cal Baptist,Yale,7
5,6,Kentucky,Saint Louis,BYU,Arkansas,8
10,11,Miami FL,Saint Mary's,Miami OH,Ohio St.,9
2,3,Virginia,Purdue,Vanderbilt,Gonzaga,10
13,14,Portland St.,UC Irvine,St. Thomas,Troy,11
6,7,Louisville,Clemson,Utah St.,Iowa,12
9,10,Texas,Georgia,California,UCLA,13
1,2,Iowa St.,Nebraska,Houston,Illinois,14
14,15,East Tennessee St.,Austin Peay,Wright St.,Tennessee Martin,15
