,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,Vermont,LIU,Lindenwood,Grambling St.,1
7,8,Saint Mary's,UCLA,Florida,Boise St.,2
8,9,SMU,Villanova,Utah St.,Ohio St.,3
4,5,Arkansas,Virginia,Louisville,Tennessee,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Houston,Alabama,Kansas,Illinois,6
12,13,Utah Valley,Sam Houston St.,UNC Wilmington,UC San Diego,7
5,6,Seton Hall,Auburn,USC,Texas Tech,8
10,11,Baylor,Arizona St.,Georgia,Virginia Tech,9
2,3,BYU,Nebraska,Purdue,North Carolina,10
13,14,Quinnipiac,High Point,Northern Colorado,Lipscomb,11
6,7,Iowa,LSU,Clemson,St. John's,12
9,10,California,Miami FL,UCF,Saint Louis,13
1,2,Michigan St.,Connecticut,Vanderbilt,Gonzaga,14
14,15,Arkansas St.,Furman,North Dakota St.,Oakland,15
