,Seed,east,midwest,south,west,seedings
0,1,Michigan,Purdue,Arizona,Duke,0
15,16,SIU Edwardsville,Southern,LIU,Norfolk St.,1
7,8,Illinois,Colorado,Saint Mary's,Texas Tech,2
8,9,LSU,Florida,Santa Clara,Seton Hall,3
4,5,Utah St.,Butler,Kansas,Virginia,4
11,12,Akron,McNeese St.,Missouri,William & Mary,5
3,4,Houston,Alabama,USC,North Carolina,6
12,13,Belmont,Cal Baptist,High Point,UC San Diego,7
5,6,Iowa,Nebraska,SMU,Auburn,8
10,11,George Mason,Miami FL,TCU,Baylor,9
2,3,BYU,Tennessee,Louisville,Gonzaga,10
13,14,South Alabama,Austin Peay,St. Thomas,New Mexico St.,11
6,7,Clemson,Yale,Indiana,Oklahoma St.,12
9,10,UCF,Georgia,Tulsa,Saint Louis,13
1,2,Connecticut,Iowa St.,Vanderbilt,Michigan St.,14
14,15,East Tennessee St.,Robert Morris,Northern Colorado,Siena,15
