,Seed,east,midwest,south,west,seedings
0,1,Connecticut,Purdue,Michigan,Duke,0
15,16,LIU,Southern,SIU Edwardsville,Norfolk St.,1
7,8,St. John's,Georgia,SMU,Saint Mary's,2
8,9,Utah St.,Texas,Santa Clara,LSU,3
4,5,Iowa,Florida,USC,North Carolina,4
11,12,George Mason,McNeese St.,Akron,High Point,5
3,4,Kansas,BYU,Indiana,Alabama,6
12,13,Tulsa,UC San Diego,UNC Wilmington,Cal Baptist,7
5,6,Clemson,Nebraska,Illinois,Auburn,8
10,11,Kentucky,Wisconsin,Northern Iowa,Texas A&M,9
2,3,Tennessee,Gonzaga,Louisville,Michigan St.,10
13,14,Northern Colorado,New Mexico St.,Siena,Troy,11
6,7,Ohio St.,Oklahoma St.,Baylor,Virginia,12
9,10,N.C. State,Miami FL,TCU,Missouri,13
1,2,Vanderbilt,Iowa St.,Arizona,Houston,14
14,15,East Tennessee St.,Austin Peay,St. Thomas,Oakland,15
