,Seed,east,midwest,south,west,seedings
0,1,Purdue,Duke,Michigan,Gonzaga,0
15,16,Southern,Oakland,LIU,Norfolk St.,1
7,8,Baylor,Oklahoma St.,Utah St.,Auburn,2
8,9,SMU,Saint Mary's,Northwestern,Missouri,3
4,5,Indiana,Iowa,USC,Nebraska,4
11,12,George Mason,McNeese St.,Akron,High Point,5
3,4,BYU,Florida,Vanderbilt,North Carolina,6
12,13,Liberty,Cal Baptist,South Florida,UC San Diego,7
5,6,Clemson,Alabama,St. John's,Ohio St.,8
10,11,Northern Iowa,Kentucky,LSU,Texas Tech,9
2,3,Michigan St.,Connecticut,Illinois,Tennessee,10
13,14,Iona,Marshall,Portland St.,William & Mary,11
6,7,N.C. State,Georgia,Kansas,Virginia,12
9,10,Butler,UCLA,Villanova,Arkansas,13
1,2,Arizona,Houston,Louisville,Iowa St.,14
14,15,Navy,St. Thomas,Florida Gulf Coast,East Tennessee St.,15
