,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Duke,0
15,16,LIU,Southern,Vermont,Norfolk St.,1
7,8,Miami FL,Oklahoma St.,Utah St.,Virginia Tech,2
8,9,UCF,California,Butler,Florida,3
4,5,Kansas,Virginia,Arkansas,Texas Tech,4
11,12,Akron,McNeese St.,Tulsa,Belmont,5
3,4,Nebraska,Illinois,Houston,North Carolina,6
12,13,Utah Valley,High Point,UNC Wilmington,UC San Diego,7
5,6,Saint Mary's,Seton Hall,USC,Auburn,8
10,11,Saint Louis,Arizona St.,Iowa,Colorado,9
2,3,Purdue,Alabama,Louisville,Michigan St.,10
13,14,Northern Colorado,Arkansas St.,Siena,Lipscomb,11
6,7,Clemson,Georgia,SMU,Tennessee,12
9,10,UCLA,St. John's,Yale,Boise St.,13
1,2,Iowa St.,BYU,Connecticut,Gonzaga,14
14,15,East Tennessee St.,Liberty,Colgate,Youngstown St.,15
