,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Vermont,Navy,Merrimack,Bethune Cookman,1
7,8,Clemson,Iowa,Utah St.,UCF,2
8,9,Villanova,Indiana,SMU,Wisconsin,3
4,5,Alabama,North Carolina,BYU,Tennessee,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,Virginia,Florida,Kansas,Texas Tech,6
12,13,UNC Wilmington,Stephen F. Austin,Cal Baptist,High Point,7
5,6,Arkansas,Kentucky,Louisville,St. John's,8
10,11,Miami FL,Saint Mary's,California,Virginia Tech,9
2,3,Michigan St.,Houston,Vanderbilt,Purdue,10
13,14,Portland St.,Hawaii,North Dakota St.,Troy,11
6,7,Saint Louis,Auburn,N.C. State,Texas A&M,12
9,10,Texas,Georgia,USC,UCLA,13
1,2,Nebraska,Illinois,Iowa St.,Gonzaga,14
14,15,Austin Peay,Tennessee Martin,Wright St.,Mercer,15
