,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,LIU,Grambling St.,Howard,Tennessee Martin,1
7,8,Clemson,Saint Mary's,SMU,Seton Hall,2
8,9,Georgia,UCLA,LSU,St. John's,3
4,5,Virginia,Tennessee,Louisville,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Alabama,Illinois,Kansas,North Carolina,6
12,13,William & Mary,UC San Diego,Utah Valley,Liberty,7
5,6,USC,Utah St.,Villanova,Arkansas,8
10,11,Saint Louis,Ohio St.,Miami FL,Oklahoma St.,9
2,3,BYU,Nebraska,Houston,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,St. Thomas,High Point,11
6,7,UCF,Florida,Iowa,Kentucky,12
9,10,California,Baylor,Butler,Auburn,13
1,2,Connecticut,Purdue,Vanderbilt,Gonzaga,14
14,15,Northern Colorado,Furman,Lipscomb,Robert Morris,15
