,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Tennessee St.,UMBC,Merrimack,Bethune Cookman,1
7,8,Miami FL,Georgia,Texas,Saint Louis,2
8,9,Villanova,Clemson,Utah St.,UCLA,3
4,5,Vanderbilt,Tennessee,Arkansas,St. John's,4
11,12,Yale,McNeese St.,South Florida,Belmont,5
3,4,Virginia,Gonzaga,Kansas,Michigan St.,6
12,13,High Point,Liberty,UNC Wilmington,Utah Valley,7
5,6,BYU,Kentucky,Louisville,North Carolina,8
10,11,Indiana,Ohio St.,Miami OH,New Mexico,9
2,3,Iowa St.,Alabama,Purdue,Texas Tech,10
13,14,Hawaii,Navy,North Dakota St.,Troy,11
6,7,Wisconsin,Saint Mary's,N.C. State,Iowa,12
9,10,TCU,Missouri,UCF,Texas A&M,13
1,2,Houston,Florida,Illinois,Nebraska,14
14,15,Northern Colorado,East Tennessee St.,Austin Peay,Robert Morris,15
