,Seed,east,midwest,south,west,seedings
0,1,Michigan,Iowa St.,Arizona,Duke,0
15,16,LIU,Southern,Lindenwood,Youngstown St.,1
7,8,Florida,Arizona St.,SMU,Tennessee,2
8,9,Miami FL,Ohio St.,Butler,St. John's,3
4,5,USC,Virginia,Kansas,Illinois,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Houston,Alabama,Arkansas,North Carolina,6
12,13,Northern Colorado,Utah Valley,UNC Wilmington,UC San Diego,7
5,6,Seton Hall,Auburn,Saint Mary's,Texas Tech,8
10,11,Kentucky,Saint Louis,Oklahoma,Colorado,9
2,3,Purdue,BYU,Louisville,Nebraska,10
13,14,South Alabama,High Point,Siena,Lipscomb,11
6,7,Clemson,LSU,Utah St.,Georgia,12
9,10,UCF,UCLA,Iowa,Virginia Tech,13
1,2,Michigan St.,Connecticut,Vanderbilt,Gonzaga,14
14,15,East Tennessee St.,North Dakota St.,Colgate,Liberty,15
