,Seed,east,midwest,south,west,seedings
0,1,Connecticut,Purdue,Michigan,Duke,0
15,16,Southern,Oakland,LIU,Norfolk St.,1
7,8,St. John's,Georgia,Utah St.,Saint Mary's,2
8,9,SMU,Texas,Santa Clara,N.C. State,3
4,5,Indiana,Florida,USC,North Carolina,4
11,12,George Mason,McNeese St.,Akron,High Point,5
3,4,Kansas,BYU,Iowa,Alabama,6
12,13,UNC Wilmington,Tulsa,Cal Baptist,UC San Diego,7
5,6,Clemson,Nebraska,Illinois,Auburn,8
10,11,Saint Louis,Missouri,Northern Iowa,UCLA,9
2,3,Tennessee,Gonzaga,Louisville,Michigan St.,10
13,14,Northern Colorado,New Mexico St.,Siena,Troy,11
6,7,Ohio St.,Oklahoma St.,Baylor,Virginia,12
9,10,Miami FL,Wisconsin,TCU,Texas A&M,13
1,2,Vanderbilt,Iowa St.,Arizona,Houston,14
14,15,East Tennessee St.,Navy,St. Thomas,Austin Peay,15
