,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Tennessee St.,UMBC,Merrimack,Bethune Cookman,1
7,8,N.C. State,Miami FL,Clemson,Georgia,2
8,9,Villanova,UCF,Utah St.,Texas,3
4,5,Vanderbilt,North Carolina,Arkansas,Tennessee,4
11,12,Yale,McNeese St.,South Florida,Belmont,5
3,4,Virginia,Alabama,Kansas,Texas Tech,6
12,13,High Point,Liberty,UNC Wilmington,Utah Valley,7
5,6,BYU,Kentucky,Louisville,St. John's,8
10,11,Indiana,TCU,Miami OH,New Mexico,9
2,3,Purdue,Nebraska,Iowa St.,Gonzaga,10
13,14,Hawaii,Navy,North Dakota St.,Troy,11
6,7,Saint Louis,Saint Mary's,Wisconsin,Iowa,12
9,10,Ohio St.,UCLA,Missouri,Texas A&M,13
1,2,Michigan St.,Florida,Illinois,Houston,14
14,15,Northern Colorado,East Tennessee St.,Austin Peay,Robert Morris,15
