,muid,Date,conmatch,matchup,prediction,ttq,Div1,HomeAway,Tm,tm_oe,tm_de,tm_Bart,tm_winpercent,tm_proScore,opp,opp_oe,opp_de,opp_Bart,opp_winpercent,opp_proScore,tpro,tm_qual,ppp_qual,gp,result,tempo,possessions,tm_pts,opp_pts,winner,loser,tm_adjt,opp_adjt,tm_adjo,tm_adjd,opp_adjo,opp_adjd,gamevalue,mismatch,blowout,tm_elite,opp_elite,ord_date,tm_ppp,opp_ppp,gameppp,tm_rk,opp_rk,tm_gs,opp_gs,gamestats,AWAY,HOME,VegasSpread,VegasTotal,Date_zero,DateNew,tm_ptdiff,tm_offensive_rating,tm_defensive_rating,opp_offensive_rating,opp_defensive_rating,LeagueTempo,LeagueOE,Reg_dif,Over_dif,Daily_Reg_Tm_net_eff,Daily_Reg_Opp_net_eff
0,ArizonaDuke11-10,2023-11-10 00:00:00,P12 at ACC,6 Arizona at 19 Duke,"Duke -0.6, 79-78 (52%)",90.4460597107832,0,H,Arizona,115.18458148487528,95.00992955850325,0.9015331293009954,1.0,77.92165509187012,Duke,117.0464285102104,95.795744613906,0.9092121334846964,0.0,78.53165769626139,73.83929487051144,Arizona,Duke,1,"Arizona, 78-73",76.125,76.125,78.0,73.0,Arizona,Duke,76.32697124446858,71.0752307053274,111.26972750487108,86.13121160705258,106.10839044623222,92.53987175979086,1.0,0.0,1.0,0.3999330801330049,0.5700803385379669,738834,1.0246305418719213,0.9589490968801314,0.9917898193760264,6,19,0.9500257817366456,0.8282745273119141,"[u'11/10/2023', 200, u'Arizona', u'Duke', 30, 65, 6, 17, 12, 18, 15, 30, 45, 17, 8, 5, 17, 17, 78, 28, 65, 8, 23, 9, 12, 8, 25, 33, 14, 9, 3, 14, 17, 73, 76.125, u'', u'Arizona', u'Duke']",Arizona,Duke,-0.6100026043912692,156.4533127881315,11/10/2023,20231110,5.0,111.26972750487108,86.13121160705258,106.10839044623222,92.53987175979086,71.2,101.4,0.0,10.1,0.0,0.0
1,TennesseeWisconsin11-10,2023-11-10 00:00:00,SEC at B10,9 Tennessee at 31 Wisconsin,"Wisconsin -0.6, 67-66 (52%)",81.76864231078224,0,H,Tennessee,109.22347033206069,91.7749209771322,0.880970666729411,1.0,65.84081773474492,Wisconsin,114.5631302230482,95.46319897774228,0.8906531229290061,0.0,66.39144973688629,66.02572820571065,Tennessee,Wisconsin,1,"Tennessee, 80-70",70.925,70.925,80.0,70.0,Tennessee,Wisconsin,74.70486674297649,70.49621996824783,122.52183593831715,90.9314885937706,113.51026901716966,107.08620013389748,1.0,0.0,1.0,0.4503835764442406,0.6212603497993532,738834,1.1279520620373635,0.986958054282693,1.0574550581600282,9,31,0.9686018156749848,0.6614988339534729,"[u'11/10/2023', 200, u'Tennessee', u'Wisconsin', 28, 56, 5, 17, 19, 23, 6, 29, 35, 10, 3, 3, 10, 22, 80, 25, 61, 6, 24, 14, 23, 10, 21, 31, 10, 3, 2, 9, 17, 70, 70.925, u'', u'Tennessee', u'Wisconsin']",Tennessee,Wisconsin,-0.55063200214137,132.2322674716312,11/10/2023,20231110,10.0,122.52183593831715,90.9314885937706,113.51026901716966,107.08620013389748,71.2,101.4,0.0,6.3,0.0,0.0
2,MemphisMissouri11-10,2023-11-10 00:00:00,Amer at SEC,40 Memphis at 61 Missouri,"Missouri -1.3, 76-75 (55%)",76.96296125763072,0,H,Memphis,110.1384346717473,98.02384908434708,0.7925003906586989,1.0,74.93893771458833,Missouri,113.54999696443927,99.38161950235748,0.8223973158150948,0.0,76.2046445808672,71.5867261416243,Memphis,,1,"Memphis, 70-55",70.3375,70.3375,70.0,55.0,Memphis,Missouri,72.10670722902277,66.25137984589739,98.68292847211636,77.27657652788365,89.5165320697924,89.04493039167905,1.0,0.0,1.0,0.5904036163247834,0.7606947149231356,738834,0.9952017060600674,0.7819441976186244,0.8885729518393459,40,61,0.9433204410020016,0.5151817887205652,"[u'11/10/2023', 200, u'Memphis', u'Missouri', 27, 62, 7, 19, 9, 16, 11, 36, 47, 15, 7, 6, 11, 20, 70, 18, 56, 6, 28, 13, 17, 5, 28, 33, 8, 8, 3, 12, 17, 55, 70.3375, u'', u'Memphis', u'Missouri']",Memphis,Missouri,-1.2657068662788618,151.14358229545553,11/10/2023,20231110,15.0,98.68292847211636,77.27657652788365,89.5165320697924,89.04493039167905,71.2,101.4,0.0,-4.1,0.0,0.0
3,FloridaVirginia11-10,2023-11-10 00:00:00,SEC vs. ACC,22 Florida vs. 36 Virginia,"Florida -1.3, 66-65 (56%)",76.35902163528874,0,N,Florida,114.14740984390936,96.41252335343106,0.8745527928452038,0.0,66.3143257291685,Virginia,108.15503604355033,93.19082809482614,0.8471652785945466,1.0,65.00523340639222,65.1835582911824,Florida,Virginia,1,"Virginia, 73-70",66.7625,66.7625,70.0,73.0,Virginia,Florida,74.71756877468445,63.26064598913875,117.44342970658272,105.88041797079376,118.77606791763162,95.8817241987285,1.0,0.0,1.0,0.6188537584912533,0.5635044193641872,738834,1.0484927916120577,1.09342819696686,1.0709604942894588,22,36,0.7670867978491637,0.9214658588257809,"[u'11/10/2023', 200, u'Florida', u'Virginia', 26, 65, 7, 25, 11, 15, 21, 26, 47, 16, 4, 4, 16, 19, 70, 26, 58, 7, 18, 14, 24, 9, 21, 30, 15, 15, 2, 6, 14, 73, 66.7625, u'', u'Virginia', u'Florida']",Florida,Virginia,1.30909232277628,131.31955913556072,11/10/2023,20231110,-3.0,117.44342970658272,105.88041797079376,118.77606791763162,95.8817241987285,71.2,101.4,0.0,-22.3,0.0,0.0
4,Texas A&MOhio St.11-10,2023-11-10 00:00:00,SEC at B10,23 Texas A&M at 29 Ohio St.,"Ohio St. -2.9, 72-69 (62%)",73.4196714118246,0,H,Texas A&M,115.6737643378546,100.2984717137248,0.8375579375086849,1.0,69.43411300538023,Ohio St.,117.02223183625158,97.3462200600891,0.8925479313667544,0.0,72.37384111162562,64.47463151502679,Texas A&M,Ohio St.,1,"Texas A&M, 73-66",65.0,65.0,73.0,66.0,Texas A&M,Ohio St.,67.20748514390068,67.39837671043516,117.56957687505177,93.27308531536144,108.8254330037124,98.94165689483796,1.0,0.0,1.0,0.4455353399754611,0.7019051455189445,738834,1.123076923076923,1.015384615384615,1.0692307692307692,23,29,0.9347611059378004,0.7493163014538251,"[u'11/10/2023', 200, u'Texas A&M', u'Ohio St.', 27, 63, 3, 18, 16, 23, 16, 29, 45, 8, 3, 1, 6, 18, 73, 26, 62, 4, 19, 10, 17, 12, 23, 35, 11, 2, 10, 8, 21, 66, 65.0, u'', u'Texas A&M', u'Ohio St.']",Texas A&M,Ohio St.,-2.939728106245397,141.80795411700586,11/10/2023,20231110,7.0,117.56957687505177,93.27308531536144,108.8254330037124,98.94165689483796,71.2,101.4,38.1,54.6,38.1,0.0
5,San Diego St.BYU11-10,2023-11-10 00:00:00,MWC at B12,21 San Diego St. at 13 BYU,"BYU -5.2, 74-68 (70%)",73.33365792746856,0,H,San Diego St.,109.5709809421239,94.70635491871342,0.8424540326075476,0.0,68.30761985602668,BYU,116.08614195299238,93.24111615573548,0.9255425949643544,1.0,73.50648217939641,69.90948096732205,San Diego St.,BYU,1,"BYU, 74-65",70.38749999999999,70.38749999999999,65.0,74.0,BYU,San Diego St.,69.05645382240468,70.93816775765436,106.77577604604048,92.10953262103207,112.90309175394216,90.86249343871827,1.0,0.0,1.0,0.349362156663074,0.6942265219866119,738834,0.9234594210619784,1.0513230332090218,0.9873912271355,21,13,0.8454243937456469,0.9239733547615293,"[u'11/10/2023', 200, u'San Diego St.', u'BYU', 26, 58, 5, 18, 8, 13, 7, 25, 32, 10, 11, 3, 13, 18, 65, 26, 61, 10, 27, 12, 16, 12, 30, 42, 13, 6, 2, 14, 19, 74, 70.38749999999999, u'', u'BYU', u'San Diego St.']",San Diego St.,BYU,-5.198862323369738,141.8141020354231,11/10/2023,20231110,-9.0,106.77577604604048,92.10953262103207,112.90309175394216,90.86249343871827,71.2,101.4,0.0,-8.4,0.0,0.0
6,College of CharlestonDuquesne11-10,2023-11-10 00:00:00,CAA vs. A10,96 College of Charleston vs. 56 Duquesne,"Duquesne -3.3, 78-75 (62%)",67.43414111638805,0,N,College of Charleston,108.50625787750792,101.02685546140916,0.6945221769371499,0.0,75.15866472040129,Duquesne,113.9460906765893,101.64447876182912,0.7881497731015739,1.0,78.44707263318678,71.25419123433734,,,1,"Duquesne, 90-72",77.2125,77.2125,72.0,90.0,Duquesne,College of Charleston,77.3934296632642,74.72913544087687,99.10004800270887,104.12856362069996,117.44444284796684,92.8331040213267,1.0,0.0,1.0,0.7075295969225985,0.7983281194384118,738834,0.932491500728509,1.165614375910636,1.0490529383195726,96,56,0.3614194599604553,0.9372836680358467,"[u'11/10/2023', 200, u'College of Charleston', u'Duquesne', 23, 58, 7, 27, 19, 30, 12, 26, 38, 15, 8, 1, 16, 17, 72, 33, 67, 11, 34, 13, 13, 8, 31, 39, 17, 10, 6, 13, 23, 90, 77.2125, u'', u'Duquesne', u'College of Charleston']",College of Charleston,Duquesne,-3.2884079127854875,153.60573735358807,11/10/2023,20231110,-18.0,99.10004800270887,104.12856362069996,117.44444284796684,92.8331040213267,71.2,101.4,0.0,8.8,0.0,0.0
7,South CarolinaVirginia Tech11-10,2023-11-10 00:00:00,SEC vs. ACC,85 South Carolina vs. 64 Virginia Tech,"Virginia Tech -1.7, 71-69 (57%)",67.37442227885043,0,N,South Carolina,109.70227022300736,101.22014193597096,0.7161474929096985,1.0,69.36301165073958,Virginia Tech,110.7121148334717,99.71078205652653,0.7691616980931714,0.0,71.061159969797,66.30406299716427,,,1,"South Carolina, 79-77",61.125,61.125,79.0,77.0,South Carolina,Virginia Tech,60.97549378888431,63.88097162483568,137.23492861550528,117.43717143042804,128.4499049344169,124.73581476396627,1.0,0.0,1.0,0.729806454936319,0.7810495592877927,738834,1.2924335378323109,1.2597137014314927,1.2760736196319018,85,64,0.8571225981866308,0.5835639398669098,"[u'11/10/2023', 200, u'South Carolina', u'Virginia Tech', 31, 55, 10, 21, 7, 8, 8, 22, 30, 16, 2, 2, 10, 16, 79, 26, 52, 7, 22, 18, 22, 6, 17, 23, 13, 8, 1, 5, 12, 77, 61.125, u'', u'South Carolina', u'Virginia Tech']",South Carolina,Virginia Tech,-1.6981483190574238,140.42417162053658,11/10/2023,20231110,2.0,137.23492861550528,117.43717143042804,128.4499049344169,124.73581476396627,71.2,101.4,0.0,1.5,0.0,0.0
8,Wake ForestGeorgia11-10,2023-11-10 00:00:00,ACC at SEC,92 Wake Forest at 107 Georgia,"Georgia -2.9, 77-74 (61%)",64.35113267322788,0,H,Wake Forest,110.06386356326286,104.74395708978363,0.6387013169773784,0.0,73.87117335474629,Georgia,108.14939079108018,99.03375754152324,0.7335299422518085,1.0,76.77150254296063,70.86257416512572,,,1,"Georgia, 80-77",72.05,72.05,77.0,80.0,Georgia,Wake Forest,70.80419836894261,71.51897349801439,111.70288049154937,108.38655202228465,111.91041370633036,100.50851955538876,1.0,0.0,1.0,0.7080024838962717,0.8728974285664931,738834,1.068702290076336,1.1103400416377516,1.0895211658570438,92,107,0.5857910056737384,0.77482268427874,"[u'11/10/2023', 200, u'Wake Forest', u'Georgia', 25, 64, 11, 30, 16, 18, 13, 28, 41, 14, 3, 4, 13, 18, 77, 31, 66, 6, 21, 12, 18, 10, 28, 38, 11, 7, 2, 7, 15, 80, 72.05, u'', u'Georgia', u'Wake Forest']",Wake Forest,Georgia,-2.900329188214343,150.6426758977069,11/10/2023,20231110,-3.0,111.70288049154937,108.38655202228465,111.91041370633036,100.50851955538876,71.2,101.4,0.0,5.5,0.0,0.0
9,Indiana St.Alabama11-10,2023-11-10 00:00:00,MVC at SEC,76 Indiana St. at 12 Alabama,"Alabama -13.4, 92-78 (86%)",62.39496057046118,0,H,Indiana St.,110.95259336170837,104.1431593720479,0.6744475201009542,0.0,78.46106199317884,Alabama,119.96808784113568,96.1585847566752,0.9271768703418244,1.0,91.88088019337997,76.89508828854278,Indiana St.,,1,"Alabama, 102-80",74.0875,74.0875,80.0,102.0,Alabama,Indiana St.,69.37909151438537,71.12002633276359,121.84020168557026,116.44774407176074,134.14239854002966,105.5944796383254,1.0,0.0,1.0,0.3439361953831037,0.8542318609277674,738834,1.079804285473258,1.3767504639784038,1.2282773747258309,76,12,0.6272831489972613,0.9400206723240601,"[u'11/10/2023', 200, u'Indiana St.', u'Alabama', 27, 53, 10, 26, 16, 26, 4, 21, 25, 10, 8, 2, 13, 24, 80, 33, 64, 13, 23, 23, 27, 14, 26, 40, 10, 6, 6, 11, 18, 102, 74.0875, u'', u'Alabama', u'Indiana St.']",Indiana St.,Alabama,-13.41981820020112,170.3419421865588,11/10/2023,20231110,-22.0,121.84020168557026,116.44774407176074,134.14239854002966,105.5944796383254,71.2,101.4,0.0,-14.8,0.0,0.0
