,Seed,east,midwest,south,west,seedings
0,1,Michigan,Connecticut,Arizona,Duke,0
15,16,Vermont,Navy,Merrimack,Bethune Cookman,1
7,8,Clemson,N.C. State,Indiana,UCF,2
8,9,SMU,Villanova,Utah St.,Wisconsin,3
4,5,Alabama,North Carolina,BYU,Texas Tech,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,Virginia,Florida,Kansas,Tennessee,6
12,13,UNC Wilmington,Stephen F. Austin,Cal Baptist,High Point,7
5,6,Arkansas,Kentucky,Louisville,St. John's,8
10,11,Texas,Saint Mary's,New Mexico,TCU,9
2,3,Michigan St.,Houston,Vanderbilt,Purdue,10
13,14,Hawaii,Mercer,North Dakota St.,Troy,11
6,7,Saint Louis,Auburn,Iowa,Texas A&M,12
9,10,Miami FL,Georgia,California,UCLA,13
1,2,Nebraska,Illinois,Iowa St.,Gonzaga,14
14,15,Austin Peay,Oakland,Portland St.,Tennessee Martin,15
