,Seed,east,midwest,south,west,seedings
0,1,Michigan,Nebraska,Arizona,Duke,0
15,16,Navy,Montana St.,Vermont,Bethune Cookman,1
7,8,Saint Louis,Wisconsin,SMU,Auburn,2
8,9,UCF,Saint Mary's,N.C. State,Texas A&M,3
4,5,Arkansas,Alabama,Kansas,St. John's,4
11,12,Liberty,Yale,Tulsa,Belmont,5
3,4,BYU,Florida,Vanderbilt,Texas Tech,6
12,13,Hawaii,High Point,Stephen F. Austin,Troy,7
5,6,Clemson,Georgia,Louisville,Kentucky,8
10,11,Seton Hall,Virginia Tech,Butler,New Mexico,9
2,3,Michigan St.,Virginia,Illinois,Gonzaga,10
13,14,UNC Wilmington,Utah Valley,North Dakota St.,Mercer,11
6,7,Iowa,North Carolina,Villanova,Tennessee,12
9,10,Miami FL,Ohio St.,Utah St.,UCLA,13
1,2,Houston,Iowa St.,Connecticut,Purdue,14
14,15,Quinnipiac,Wright St.,Austin Peay,Tennessee Martin,15
