,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Iowa St.,0
15,16,Howard,LIU,Lindenwood,Grambling St.,1
7,8,Clemson,LSU,SMU,Saint Mary's,2
8,9,N.C. State,California,Villanova,UCLA,3
4,5,Illinois,Tennessee,Arkansas,Texas Tech,4
11,12,McNeese St.,Yale,Miami OH,Belmont,5
3,4,Kansas,Alabama,Louisville,North Carolina,6
12,13,Utah Valley,William & Mary,Liberty,UC San Diego,7
5,6,Utah St.,Virginia,USC,Seton Hall,8
10,11,Saint Louis,Oklahoma St.,Miami FL,Virginia Tech,9
2,3,BYU,Nebraska,Houston,Michigan St.,10
13,14,Arkansas St.,Quinnipiac,St. Thomas,High Point,11
6,7,UCF,Florida,Iowa,Kentucky,12
9,10,Baylor,Auburn,Georgia,St. John's,13
1,2,Purdue,Duke,Connecticut,Gonzaga,14
14,15,Furman,Idaho,Lipscomb,Robert Morris,15
