,Seed,east,midwest,south,west,seedings
0,1,Iowa St.,Purdue,Michigan,Duke,0
15,16,Southern,Oakland,SIU Edwardsville,Norfolk St.,1
7,8,Georgia,Wisconsin,St. John's,Virginia,2
8,9,SMU,N.C. State,Utah St.,Texas,3
4,5,Indiana,Kansas,USC,North Carolina,4
11,12,Akron,McNeese St.,Northern Iowa,High Point,5
3,4,Iowa,Vanderbilt,Illinois,Alabama,6
12,13,Tulsa,New Mexico St.,Cal Baptist,UC San Diego,7
5,6,Nebraska,Ohio St.,Florida,Auburn,8
10,11,Saint Louis,Kentucky,Yale,Virginia Tech,9
2,3,BYU,Tennessee,Connecticut,Michigan St.,10
13,14,Navy,William & Mary,Northern Colorado,Troy,11
6,7,Baylor,Saint Mary's,Clemson,Oklahoma St.,12
9,10,Missouri,UCLA,Butler,Texas Tech,13
1,2,Arizona,Houston,Louisville,Gonzaga,14
14,15,St. Thomas,East Tennessee St.,Iona,Austin Peay,15
